Player,Team,Pos,Injury,Status
Oday Aboushi,LAC,OG,Knee - ACL,IR
Johnathan Abram,LV,S,Shoulder,IR
DeMarkus Acy,PIT,CB,Knee - ACL,IR
Jamal Adams,SEA,S,Shoulder - Labrum,IR
Nelson Agholor,NE,WR,Concussion,Out
McTelvin Agim,DEN,DE,Illness,Reserve-Covid-19
Jamal Agnew,JAX,WR,Hip,IR
Cam Akers,LAR,RB,Achilles,Questionable
Azeez Al-Shaair,SF,LB,Knee,Out
Otaro Alaka,BAL,LB,Undisclosed,IR
Isaac Alarcon,FA,OT,Illness,Out
Jaire Alexander,GB,CB,Shoulder - AC Joint,Out
Robert Alford,ARI,CB,Pectoral,IR
Beau Allen,FA,DT,Leg,Questionable
Dakota Allen,JAX,LB,Shoulder,Questionable
Zach Allen,ARI,DE,Ankle,Questionable
Geronimo Allison,FA,WR,Undisclosed,Out
Kiko Alonso,FA,LB,Knee - ACL,Questionable
Tyson Alualu,PIT,DT,Ankle,IR
Danny Amendola,HOU,WR,Undisclosed,Reserve-Covid-19
Henry Anderson,NE,DE,Pectoral,IR
Calvin Anderson,DEN,OT,Illness,Reserve-Covid-19
Ezekiel Ansah,FA,DE,Biceps,Questionable
Alex Anzalone,DET,LB,Shoulder,IR
Daniel Archibong,FA,DT,Undisclosed,Out
Terron Armstead,NO,OT,Knee,Questionable
Dan Arnold,JAX,TE,Illness,Reserve-Covid-19
Jaytlin Askew,FA,CB,Quadriceps,Questionable
Jeremiah Attaochu,CHI,LB,Pectoral,IR
Tutu Atwell,LAR,WR,Shoulder,IR
Antony Auclair,HOU,TE,Illness,Reserve-Covid-19
Bless Austin,SEA,CB,Illness,Reserve-Covid-19
Anthony Averett,BAL,CB,Ribs,Out
Joe Bachie,CIN,LB,Knee - ACL,IR
Jeff Badet,FA,WR,Undisclosed,Questionable
Budda Baker,ARI,S,Ribs,Questionable
David Bakhtiari,GB,OT,Knee - ACL,Out
Josh Ball,DAL,OT,Ankle,IR-R
Zach Banner,PIT,OT,Illness,Reserve-Covid-19
Christian Barmore,NE,DT,Knee,Questionable
Shaquil Barrett,TB,LB,Knee - ACL + MCL,Out
Ben Bartch,JAX,OG,Undisclosed,Reserve-Covid-19
Cameron Batson,TEN,WR,Knee - ACL,IR
Evan Baylis,FA,TE,Ankle,Questionable
Willie Beavers,FA,OG,Undisclosed,Out
Andrew Beck,DEN,TE,Elbow,IR
Ryan Becker,FA,TE,Undisclosed,Questionable
Mekhi Becton,NYJ,OT,Knee - MCL,IR
Chad Beebe,MIN,WR,Foot,IR
LeVante Bellamy,FA,RB,Ankle,Questionable
B.J. Bello,TEN,LB,Ankle,IR
Ja'Whaun Bentley,NE,LB,Illness,Reserve-Covid-19
Beau Benzschawel,FA,OG,Undisclosed,Out
Giovani Bernard,TB,RB,Hip,IR
Francis Bernard,DAL,LB,Groin,Reserve-Covid-19
Rashod Berry,DET,LB,Illness,Out
Julian Blackmon,IND,S,Achilles,IR
Marquise Blair,SEA,S,Kneecap,IR
Rodrigo Blankenship,IND,K,Hip,IR
Joshuah Bledsoe,NE,S,Calf,IR
C.J. Board,NYG,WR,Arm,IR
Briean Boddy-Calhoun,FA,CB,Undisclosed,Out
Ike Boettger,BUF,OG,Achilles,IR
Quinton Bohanna,DAL,DT,Illness,Reserve-Covid-19
Curtis Bolton,DET,LB,Back,Questionable
Reggie Bonnafon,FA,RB,Undisclosed,Out
Breon Borders,ARI,CB,Illness,Reserve-Covid-19
Jon Bostic,WAS,LB,Pectoral,IR
A.J. Bouye,CAR,CB,Foot,IR
Lynn Bowden,MIA,WR,Hamstring,IR
Rakeem Boyd,FA,RB,Undisclosed,Questionable
Shaun Bradley,PHI,LB,Shoulder,Out
Bashaud Breeland,FA,CB,Illness,Questionable
Jacob Breeland,FA,TE,Knee - ACL,Questionable
Teddy Bridgewater,DEN,QB,Concussion,Out
Gary Brightwell,NYG,RB,Neck,IR
Michael Brockers,DET,DE,Illness,Reserve-Covid-19
Brandon Brooks,PHI,OG,Pectoral,IR
Ahmad Brooks,FA,LB,Suspension,Reserve-Sus
Antonio Brown,TB,WR,Ankle,Questionable
Malcolm Brown,MIA,RB,Quadriceps,IR-R
Kyron Brown,FA,CB,Illness,Out
Jayon Brown,TEN,LB,Illness,Reserve-Covid-19
Andrew Brown,FA,DT,Illness,Out
Tre Brown,SEA,CB,Knee,IR
Mike Brown,FA,OG,Undisclosed,Questionable
Marquise Brown,BAL,WR,Illness,Questionable
Baron Browning,DEN,LB,Illness,Reserve-Covid-19
TJ Brunson,NYG,LB,Knee - ACL,IR
Hunter Bryant,DET,TE,Undisclosed,NFI-R
Martavis Bryant,FA,WR,Suspension,Reserve-Sus
Bryan Bulaga,LAC,OT,Back,IR
Jonathan Bullard,ATL,DE,Illness,Reserve-Covid-19
Ben Burr-Kirven,SEA,LB,Knee - ACL,IR
