first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Josh,Allen,QB,,10,2023-11-13,Thu-Mon,BUF,DEN,-7,46,26.5,8300,28,14.9,25.5,33.1,24.6,2.96
Joe,Burrow,QB,,10,2023-11-12,Thu-Mon,CIN,HOU,-6.5,47,26.8,6800,16,5.7,20.0,27.6,22.0,3.24
Ja'Marr,Chase,WR,Q,10,2023-11-12,Thu-Mon,CIN,HOU,-6.5,47,26.8,8600,5,8.1,24.0,55.2,21.8,2.53
CeeDee,Lamb,WR,,10,2023-11-12,Thu-Mon,DAL,NYG,-17.5,38.5,28,8500,19,8.9,24.3,44.0,21.8,2.56
Christian,McCaffrey,RB,,10,2023-11-12,Thu-Mon,SF,JAX,-3,45,24,9200,15,14.2,26.8,51.7,21.6,2.35
Amon-Ra,St. Brown,WR,,10,2023-11-12,Thu-Mon,DET,LAC,-3,48,25.5,8300,30,16.6,23.7,33.4,21.3,2.57
Keenan,Allen,WR,,10,2023-11-12,Thu-Mon,LAC,DET,+3,48,22.5,8800,7,9.5,14.8,21.5,20.6,2.34
Jared,Goff,QB,,10,2023-11-12,Thu-Mon,DET,LAC,-3,48,25.5,6400,32,10.4,17.9,27.4,20.6,3.22
Justin,Herbert,QB,,10,2023-11-12,Thu-Mon,LAC,DET,+3,48,22.5,7700,17,12.9,22.7,32.3,20.2,2.62
Stefon,Diggs,WR,Q,10,2023-11-13,Thu-Mon,BUF,DEN,-7,46,26.5,9000,17,16.0,21.5,28.1,19.9,2.21
Lamar,Jackson,QB,,10,2023-11-12,Thu-Mon,BAL,CLE,-6.5,38.5,22.5,8000,3,11.9,18.5,37.9,19.7,2.46
Dak,Prescott,QB,,10,2023-11-12,Thu-Mon,DAL,NYG,-17.5,38.5,28,6700,9,7.3,22.0,32.1,18.9,2.82
Geno,Smith,QB,,10,2023-11-12,Thu-Mon,SEA,WAS,-6,45,25.5,5800,30,4.7,12.3,15.9,18.6,3.21
Travis,Etienne Jr.,RB,,10,2023-11-12,Thu-Mon,JAX,SF,+3,45,21,7100,12,10.2,24.3,39.4,18.1,2.55
Austin,Ekeler,RB,,10,2023-11-12,Thu-Mon,LAC,DET,+3,48,22.5,8400,2,5.6,17.6,29.4,18.0,2.14
Sam,Howell,QB,,10,2023-11-12,Thu-Mon,WAS,SEA,+6,45,19.5,5900,21,10.5,23.0,35.0,18.0,3.05
C.J.,Stroud,QB,,10,2023-11-12,Thu-Mon,HOU,CIN,+6.5,47,20.3,6900,22,12.9,22.4,44.8,17.9,2.59
Adam,Thielen,WR,,10,2023-11-09,Thu-Mon,CAR,CHI,+3.5,38,17.3,7700,17,7.9,20.1,31.5,17.9,2.32
Trevor,Lawrence,QB,,10,2023-11-12,Thu-Mon,JAX,SF,+3,45,21,6000,11,15.7,17.3,20.7,17.6,2.93
Brock,Purdy,QB,,10,2023-11-12,Thu-Mon,SF,JAX,-3,45,24,5700,27,8.7,19.0,26.1,17.2,3.02
Breece,Hall,RB,,10,2023-11-12,Thu-Mon,NYJ,LV,-1,37,19,6700,29,3.7,17.3,31.4,17.2,2.57
Derek,Carr,QB,,10,2023-11-12,Thu-Mon,NO,MIN,-3,41,22,5800,18,15.7,18.9,22.3,17.1,2.95
Josh,Jacobs,RB,,10,2023-11-12,Thu-Mon,LV,NYJ,+1,37,18,7000,27,5.1,15.0,21.8,17.1,2.44
Russell,Wilson,QB,,10,2023-11-13,Thu-Mon,DEN,BUF,+7,46,19.5,5200,6,8.9,16.7,22.2,17.1,3.29
Kyler,Murray,QB,,10,2023-11-12,Thu-Mon,ARI,ATL,+1.5,44,21.3,5900,24,0.7,18.3,29.6,16.8,2.85
Joe,Mixon,RB,,10,2023-11-12,Thu-Mon,CIN,HOU,-6.5,47,26.8,6200,21,8.6,13.8,20.0,16.8,2.71
Davante,Adams,WR,,10,2023-11-12,Thu-Mon,LV,NYJ,+1,37,18,8000,1,2.1,7.1,12.7,16.5,2.06
Brandon,Aiyuk,WR,,10,2023-11-12,Thu-Mon,SF,JAX,-3,45,24,7100,22,9.8,15.0,23.8,16.4,2.31
Alvin,Kamara,RB,,10,2023-11-12,Thu-Mon,NO,MIN,-3,41,22,8300,7,11.0,20.7,29.3,16.3,1.96
Joshua,Dobbs,QB,,10,2023-11-12,Thu-Mon,MIN,NO,+3,41,19,5500,8,11.7,18.0,24.9,16.2,2.95
Baker,Mayfield,QB,,10,2023-11-12,Thu-Mon,TB,TEN,-1.5,39.5,20.5,5100,10,7.8,17.5,23.9,15.9,3.12
Gardner,Minshew II,QB,,10,2023-11-12,Thu-Mon,IND,NE,-2,42.5,22.3,5200,15,6.3,16.5,34.1,15.9,3.06
Will,Levis,QB,,10,2023-11-12,Thu-Mon,TEN,TB,+1.5,39.5,19,5300,31,9.7,18.2,26.6,15.8,2.98
Jonathan,Taylor,RB,,10,2023-11-12,Thu-Mon,IND,NE,-2,42.5,22.3,6600,19,4.4,13.1,21.0,15.8,2.39
Michael,Pittman Jr.,WR,,10,2023-11-12,Thu-Mon,IND,NE,-2,42.5,22.3,6700,23,10.2,16.4,22.9,15.6,2.33
Taylor,Heinicke,QB,,10,2023-11-12,Thu-Mon,ATL,ARI,-1.5,44,22.8,5100,26,12.2,14.8,18.6,15.5,3.04
Tony,Pollard,RB,,10,2023-11-12,Thu-Mon,DAL,NYG,-17.5,38.5,28,7300,24,6.5,10.2,17.0,15.5,2.12
Deshaun,Watson,QB,,10,2023-11-12,Thu-Mon,CLE,BAL,+6.5,38.5,16,5400,1,-0.8,15.1,21.7,15.3,2.83
Mike,Evans,WR,,10,2023-11-12,Thu-Mon,TB,TEN,-1.5,39.5,20.5,7200,26,7.0,12.3,20.2,15.3,2.13
Bryce,Young,QB,,10,2023-11-09,Thu-Mon,CAR,CHI,+3.5,38,17.3,5100,27,8.2,13.5,20.3,14.9,2.92
Derrick,Henry,RB,,10,2023-11-12,Thu-Mon,TEN,TB,+1.5,39.5,19,7400,5,9.2,18.9,27.4,14.9,2.01
Bijan,Robinson,RB,,10,2023-11-12,Thu-Mon,ATL,ARI,-1.5,44,22.8,6000,30,0.3,9.0,13.0,14.8,2.47
Saquon,Barkley,RB,,10,2023-11-12,Thu-Mon,NYG,DAL,+17.5,38.5,10.5,7700,8,13.8,18.8,27.2,14.6,1.90
Garrett,Wilson,WR,,10,2023-11-12,Thu-Mon,NYJ,LV,-1,37,19,6600,6,8.4,14.2,20.6,14.6,2.21
Christian,Kirk,WR,,10,2023-11-12,Thu-Mon,JAX,SF,+3,45,21,6000,28,8.6,14.7,20.0,14.6,2.43
Rachaad,White,RB,,10,2023-11-12,Thu-Mon,TB,TEN,-1.5,39.5,20.5,5800,14,6.8,15.9,27.9,14.5,2.50
Tyson,Bagent,QB,,10,2023-11-09,Thu-Mon,CHI,CAR,-3.5,38,20.8,4900,3,7.7,13.4,19.8,14.4,2.94
Chris,Godwin,WR,,10,2023-11-12,Thu-Mon,TB,TEN,-1.5,39.5,20.5,6700,26,3.6,14.0,22.4,14.4,2.15
Diontae,Johnson,WR,,10,2023-11-12,Thu-Mon,PIT,GB,-3.5,38.5,21,5400,9,7.8,13.4,22.0,14.4,2.67
Aaron,Jones,RB,Q,10,2023-11-12,Thu-Mon,GB,PIT,+3.5,38.5,17.5,6500,26,2.4,13.1,26.7,14.4,2.22
Kenneth,Walker III,RB,Q,10,2023-11-12,Thu-Mon,SEA,WAS,-6,45,25.5,6800,16,2.7,11.7,17.9,14.3,2.10
Jordan,Love,QB,,10,2023-11-12,Thu-Mon,GB,PIT,+3.5,38.5,17.5,5600,13,8.0,14.3,17.6,14.2,2.54
Mac,Jones,QB,,10,2023-11-12,Thu-Mon,NE,IND,+2,42.5,20.3,4900,19,1.4,10.7,20.0,14.0,2.86
DeAndre,Hopkins,WR,,10,2023-11-12,Thu-Mon,TEN,TB,+1.5,39.5,19,6000,31,3.0,17.3,37.8,14.0,2.33
Jordan,Addison,WR,,10,2023-11-12,Thu-Mon,MIN,NO,+3,41,19,5900,12,10.2,19.2,34.3,13.9,2.36
DJ,Moore,WR,,10,2023-11-09,Thu-Mon,CHI,CAR,-3.5,38,20.8,5800,5,6.4,18.3,52.0,13.8,2.38
DK,Metcalf,WR,,10,2023-11-12,Thu-Mon,SEA,WAS,-6,45,25.5,6800,29,6.0,12.2,20.2,13.8,2.03
Tyler,Lockett,WR,Q,10,2023-11-12,Thu-Mon,SEA,WAS,-6,45,25.5,6100,29,3.0,7.1,9.9,13.8,2.26
Chris,Olave,WR,,10,2023-11-12,Thu-Mon,NO,MIN,-3,41,22,6400,24,9.2,12.9,16.6,13.7,2.14
Tank,Dell,WR,,10,2023-11-12,Thu-Mon,HOU,CIN,+6.5,47,20.3,5500,8,3.9,15.9,32.6,13.7,2.49
Sam,LaPorta,TE,,10,2023-11-12,Thu-Mon,DET,LAC,-3,48,25.5,5700,19,7.6,13.6,19.7,13.6,2.39
Rhamondre,Stevenson,RB,,10,2023-11-12,Thu-Mon,NE,IND,+2,42.5,20.3,5600,28,2.4,13.0,22.9,13.4,2.39
Jahmyr,Gibbs,RB,,10,2023-11-12,Thu-Mon,DET,LAC,-3,48,25.5,7000,22,9.1,18.3,32.9,13.4,1.91
