first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Justin,Fields,QB,,12,2023-11-27,Fri-Mon,CHI,MIN,+3.5,43,19.8,7000,15,5.9,21.5,33.0,29.3,4.18
Joshua,Dobbs,QB,,12,2023-11-27,Fri-Mon,MIN,CHI,-3.5,43,23.3,5900,21,16.1,22.0,25.1,27.5,4.66
Tyreek,Hill,WR,Q,12,2023-11-24,Fri-Mon,MIA,NYJ,-9.5,41,25.3,9500,1,13.5,26.5,33.6,24.5,2.58
Lamar,Jackson,QB,,12,2023-11-26,Fri-Mon,BAL,LAC,-3.5,48,25.8,8000,32,12.0,20.3,37.9,23.9,2.99
Tua,Tagovailoa,QB,,12,2023-11-24,Fri-Mon,MIA,NYJ,-9.5,41,25.3,7900,13,11.3,19.1,26.8,23.6,2.98
Jalen,Hurts,QB,,12,2023-11-26,Fri-Mon,PHI,BUF,-3,48.5,25.8,8300,5,19.9,25.1,31.4,23.4,2.82
Justin,Herbert,QB,,12,2023-11-26,Fri-Mon,LAC,BAL,+3.5,48,22.3,7800,1,12.9,23.0,32.4,22.5,2.88
Patrick,Mahomes,QB,,12,2023-11-26,Fri-Mon,KC,LV,-8,43,25.5,8200,11,8.6,20.5,37.9,22.4,2.73
A.J.,Brown,WR,Q,12,2023-11-26,Fri-Mon,PHI,BUF,-3,48.5,25.8,9000,9,1.8,22.6,36.0,21.8,2.42
Josh,Allen,QB,,12,2023-11-26,Fri-Mon,BUF,PHI,+3,48.5,22.8,8100,29,15.4,24.0,33.1,21.2,2.62
DJ,Moore,WR,,12,2023-11-27,Fri-Mon,CHI,MIN,+3.5,43,19.8,6000,24,6.4,12.6,22.6,21.1,3.52
Stefon,Diggs,WR,,12,2023-11-26,Fri-Mon,BUF,PHI,+3,48.5,22.8,8800,32,6.4,13.9,22.6,20.0,2.27
Kyler,Murray,QB,,12,2023-11-26,Fri-Mon,ARI,LAR,+1.5,44.5,21.5,6900,17,0.7,17.6,26.2,19.8,2.87
Austin,Ekeler,RB,,12,2023-11-26,Fri-Mon,LAC,BAL,+3.5,48,22.3,8300,14,5.6,13.9,24.3,19.7,2.37
C.J.,Stroud,QB,,12,2023-11-26,Fri-Mon,HOU,JAX,+2,48,23,7700,24,12.9,23.9,44.8,19.2,2.49
Keenan,Allen,WR,Q,12,2023-11-26,Fri-Mon,LAC,BAL,+3.5,48,22.3,8900,6,9.5,22.8,43.5,19.2,2.16
Cooper,Kupp,WR,Q,12,2023-11-26,Fri-Mon,LAR,ARI,-1.5,44.5,23,8000,19,2.1,10.5,30.8,19.0,2.38
Travis,Kelce,TE,,12,2023-11-26,Fri-Mon,KC,LV,-8,43,25.5,8200,12,4.4,19.2,38.9,17.3,2.11
De'Von,Achane,RB,Q,12,2023-11-24,Fri-Mon,MIA,NYJ,-9.5,41,25.3,6700,27,1.5,22.6,54.3,17.0,2.54
Jordan,Addison,WR,,12,2023-11-27,Fri-Mon,MIN,CHI,-3.5,43,23.3,5700,16,7.4,16.8,34.3,16.8,2.95
Trevor,Lawrence,QB,,12,2023-11-26,Fri-Mon,JAX,HOU,-2,48,25,6400,22,5.1,17.4,32.2,16.8,2.63
