PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Baker Mayfield,QB,TB,IND,113,44.00,2.50,20.75,5500,16.15,2.9,32.1,3.6,0.0,3.6,6.5
Bryce Young,QB,CAR,TEN,155,36.50,3.50,16.50,4900,14.03,2.9,35.0,2.5,0.0,2.5,7.7
Dorian Thompson-Robinson,QB,CLE,DEN,104,36.00,1.50,17.25,4900,14.18,2.9,29.5,5.1,0.0,5.1,7.1
Gardner Minshew,QB,IND,TB,-134,44.00,-2.50,23.25,5100,14.25,2.8,32.8,1.5,0.0,1.5,6.7
Patrick Mahomes,QB,KC,LV,-401,43.00,-8.50,25.75,8200,22.61,2.8,34.4,4.1,0.0,4.1,4.7
Jalen Hurts,QB,PHI,BUF,-169,48.50,-3.50,26.00,8300,23.39,2.8,26.9,10.0,0.0,10.0,4.4
Lamar Jackson,QB,BAL,LAC,-182,48.00,-3.50,25.75,8000,21.77,2.7,27.8,9.5,0.0,9.5,4.7
Justin Fields,QB,CHI,MIN,136,43.00,3.00,20.00,7000,19.03,2.7,28.0,10.4,0.0,10.4,5.5
Desmond Ridder,QB,ATL,NO,-111,42.00,-1.00,21.50,4800,13.13,2.7,31.0,3.6,0.0,3.6,7.2
Trevor Lawrence,QB,JAX,HOU,-122,47.50,-1.50,24.50,6400,17.47,2.7,34.6,3.5,0.0,3.5,6.0
Rashid Shaheed,WR,NO,ATL,-107,42.00,1.00,20.50,4300,11.38,2.7,0.0,0.9,6.2,7.1,1.6
Derek Carr,QB,NO,ATL,-107,42.00,1.00,20.50,5800,15.00,2.6,32.4,0.8,0.0,0.8,5.7
Drake London,WR,ATL,NO,-111,42.00,-1.00,21.50,5000,12.82,2.6,0.0,0.0,7.6,7.6,1.5
Joshua Dobbs,QB,MIN,CHI,-163,43.00,-3.00,23.00,5900,15.34,2.6,32.3,6.9,0.0,6.9,6.6
Kansas City Chiefs,D,KC,LV,-401,43.00,-8.50,25.75,3100,8.18,2.6,0.0,0.0,0.0,0.0,0.0
A.T. Perry,WR,NO,ATL,-107,42.00,1.00,20.50,3200,8.32,2.6,0.0,0.0,4.5,4.5,1.4
Evan Engram,TE,JAX,HOU,-122,47.50,-1.50,24.50,4200,10.66,2.5,0.0,0.0,7.0,7.0,1.7
Zay Jones,WR,JAX,HOU,-122,47.50,-1.50,24.50,3900,9.92,2.5,0.0,0.1,5.6,5.7,1.5
Josh Allen,QB,BUF,PHI,141,48.50,3.50,22.50,8100,20.28,2.5,33.1,3.5,0.0,3.5,4.5
Jake Browning,QB,CIN,PIT,104,35.50,1.50,17.00,5200,12.86,2.5,30.6,3.1,0.0,3.1,6.5
Kylen Granson,TE,IND,TB,-134,44.00,-2.50,23.25,2600,6.55,2.5,0.0,0.0,3.8,3.8,1.5
Michael Wilson,WR,ARI,LAR,100,44.50,1.50,21.50,3200,7.88,2.5,0.0,0.0,4.8,4.8,1.5
C.J. Stroud,QB,HOU,JAX,103,47.50,1.50,23.00,7700,18.58,2.4,37.0,2.4,0.0,2.4,5.1
Odell Beckham,WR,BAL,LAC,-182,48.00,-3.50,25.75,3800,9.20,2.4,0.0,0.1,4.4,4.5,1.2
New England Patriots,D,NE,NYG,-184,34.00,-3.50,18.75,3200,7.61,2.4,0.0,0.0,0.0,0.0,0.0
Cooper Kupp,WR,LAR,ARI,-120,44.50,-1.50,23.00,8000,19.26,2.4,0.0,0.3,10.6,10.9,1.4
Marquise Brown,WR,ARI,LAR,100,44.50,1.50,21.50,5200,12.48,2.4,0.0,0.2,7.6,7.8,1.5
Minnesota Vikings,D,MIN,CHI,-163,43.00,-3.00,23.00,3200,7.67,2.4,0.0,0.0,0.0,0.0,0.0
Jalen Guyton,WR,LAC,BAL,151,48.00,3.50,22.25,3300,7.92,2.4,0.0,0.3,4.1,4.4,1.3
Kyler Murray,QB,ARI,LAR,100,44.50,1.50,21.50,6900,16.86,2.4,31.3,4.1,0.0,4.1,5.1
Russell Wilson,QB,DEN,CLE,-124,36.00,-1.50,18.75,5400,13.06,2.4,27.0,3.5,0.0,3.5,5.6
Denver Broncos,D,DEN,CLE,-124,36.00,-1.50,18.75,3200,7.72,2.4,0.0,0.0,0.0,0.0,0.0
Mac Jones,QB,NE,NYG,-184,34.00,-3.50,18.75,5100,11.97,2.3,29.0,1.4,0.0,1.4,6.0
Justin Herbert,QB,LAC,BAL,151,48.00,3.50,22.25,7800,18.29,2.3,34.0,2.9,0.0,2.9,4.7
T.J. Hockenson,TE,MIN,CHI,-163,43.00,-3.00,23.00,5800,13.45,2.3,0.0,0.0,7.5,7.5,1.3
Rachaad White,RB,TB,IND,113,44.00,2.50,20.75,6100,13.99,2.3,0.0,11.7,4.7,16.4,2.7
Elijah Moore,WR,CLE,DEN,104,36.00,1.50,17.25,3700,8.63,2.3,0.0,0.5,5.1,5.6,1.5
Tennessee Titans,D,TEN,CAR,-187,36.50,-3.50,20.00,3400,7.94,2.3,0.0,0.0,0.0,0.0,0.0
New York Jets,D,NYJ,MIA,368,41.00,9.50,15.75,2500,5.68,2.3,0.0,0.0,0.0,0.0,0.0
Will Levis,QB,TEN,CAR,-187,36.50,-3.50,20.00,5300,11.93,2.3,32.0,2.6,0.0,2.6,6.5
Bijan Robinson,RB,ATL,NO,-111,42.00,-1.00,21.50,6500,15.29,2.3,0.0,13.5,4.6,18.1,2.8
Rondale Moore,WR,ARI,LAR,100,44.50,1.50,21.50,3600,8.16,2.3,0.0,1.7,3.9,5.6,1.6
Cincinnati Bengals,D,CIN,PIT,104,35.50,1.50,17.00,3300,7.62,2.3,0.0,0.0,0.0,0.0,0.0
Isaiah Likely,TE,BAL,LAC,-182,48.00,-3.50,25.75,3100,7.10,2.3,0.0,0.0,3.9,3.9,1.3
Najee Harris,RB,PIT,CIN,-123,35.50,-1.50,18.50,4900,11.14,2.3,0.0,14.2,3.1,17.3,3.5
Josh Downs,WR,IND,TB,-134,44.00,-2.50,23.25,4800,11.24,2.3,0.0,0.5,6.5,7.0,1.5
Matthew Stafford,QB,LAR,ARI,-120,44.50,-1.50,23.00,6300,14.62,2.3,32.0,0.9,0.0,0.9,5.2
Miami Dolphins,D,MIA,NYJ,-483,41.00,-9.50,25.25,3500,8.01,2.3,0.0,0.0,0.0,0.0,0.0
Kenny Pickett,QB,PIT,CIN,-123,35.50,-1.50,18.50,4800,10.79,2.3,27.0,1.7,0.0,1.7,6.0
Javonte Williams,RB,DEN,CLE,-124,36.00,-1.50,18.75,5700,13.33,2.3,0.0,17.1,2.9,20.0,3.5
Houston Texans,D,HOU,JAX,103,47.50,1.50,23.00,2600,5.73,2.2,0.0,0.0,0.0,0.0,0.0
Demario Douglas,WR,NE,NYG,-184,34.00,-3.50,18.75,4400,9.78,2.2,0.0,0.3,6.2,6.5,1.5
Pat Freiermuth,TE,PIT,CIN,-123,35.50,-1.50,18.50,2900,6.43,2.2,0.0,0.0,3.9,3.9,1.3
Quentin Johnston,WR,LAC,BAL,151,48.00,3.50,22.25,4000,8.68,2.2,0.0,0.1,5.5,5.6,1.4
Trey Palmer,WR,TB,IND,113,44.00,2.50,20.75,3100,6.81,2.2,0.0,0.0,4.1,4.1,1.3
Rhamondre Stevenson,RB,NE,NYG,-184,34.00,-3.50,18.75,5800,12.98,2.2,0.0,13.0,4.2,17.2,3.0
Kyren Williams,RB,LAR,ARI,-120,44.50,-1.50,23.00,6600,14.55,2.2,0.0,13.9,4.5,18.4,2.8
DJ Chark,WR,CAR,TEN,155,36.50,3.50,16.50,3200,7.06,2.2,0.0,0.0,4.7,4.7,1.5
Alexander Mattison,RB,MIN,CHI,-163,43.00,-3.00,23.00,5300,11.88,2.2,0.0,15.5,2.5,18.0,3.4
Justin Watson,WR,KC,LV,-401,43.00,-8.50,25.75,3000,6.70,2.2,0.0,0.0,3.4,3.4,1.1
DJ Moore,WR,CHI,MIN,136,43.00,3.00,20.00,6000,13.34,2.2,0.0,0.8,7.7,8.5,1.4
Jonathan Taylor,RB,IND,TB,-134,44.00,-2.50,23.25,6900,15.39,2.2,0.0,19.6,3.8,23.4,3.4
Tua Tagovailoa,QB,MIA,NYJ,-483,41.00,-9.50,25.25,7900,17.20,2.2,32.9,0.8,0.0,0.8,4.3
Justin Jefferson,WR,MIN,CHI,-163,43.00,-3.00,23.00,8700,18.98,2.2,0.0,0.4,10.2,10.6,1.2
Khalil Shakir,WR,BUF,PHI,141,48.50,3.50,22.50,3600,8.04,2.2,0.0,0.1,3.7,3.8,1.1
Wan'Dale Robinson,WR,NYG,NE,153,34.00,3.50,15.25,3800,8.36,2.2,0.0,0.6,6.1,6.7,1.8
James Conner,RB,ARI,LAR,100,44.50,1.50,21.50,5900,12.75,2.2,0.0,16.2,2.1,18.3,3.1
DeVante Parker,WR,NE,NYG,-184,34.00,-3.50,18.75,3000,6.45,2.2,0.0,0.0,4.1,4.1,1.4
Isiah Pacheco,RB,KC,LV,-401,43.00,-8.50,25.75,6200,13.02,2.1,0.0,14.7,2.5,17.2,2.8
Travis Kelce,TE,KC,LV,-401,43.00,-8.50,25.75,8200,17.03,2.1,0.0,0.0,8.6,8.6,1.0
David Njoku,TE,CLE,DEN,104,36.00,1.50,17.25,4100,8.67,2.1,0.0,0.0,5.4,5.4,1.3
Austin Ekeler,RB,LAC,BAL,151,48.00,3.50,22.25,8300,17.80,2.1,0.0,13.2,6.8,20.0,2.4
Michael Pittman,WR,IND,TB,-134,44.00,-2.50,23.25,6800,14.04,2.1,0.0,0.4,8.1,8.5,1.2
Skyy Moore,WR,KC,LV,-401,43.00,-8.50,25.75,3000,6.23,2.1,0.0,0.4,3.1,3.5,1.2
Rashod Bateman,WR,BAL,LAC,-182,48.00,-3.50,25.75,3200,6.82,2.1,0.0,0.0,3.7,3.7,1.2
Devin Singletary,RB,HOU,JAX,103,47.50,1.50,23.00,6000,12.64,2.1,0.0,17.5,2.0,19.5,3.3
Los Angeles Rams,D,LAR,ARI,-120,44.50,-1.50,23.00,2800,5.74,2.1,0.0,0.0,0.0,0.0,0.0
Chris Olave,WR,NO,ATL,-107,42.00,1.00,20.50,6600,14.09,2.1,0.0,0.1,7.7,7.8,1.2
Jaylen Warren,RB,PIT,CIN,-123,35.50,-1.50,18.50,5400,11.32,2.1,0.0,8.1,3.7,11.8,2.2
Carolina Panthers,D,CAR,TEN,155,36.50,3.50,16.50,3100,6.55,2.1,0.0,0.0,0.0,0.0,0.0
New York Giants,D,NYG,NE,153,34.00,3.50,15.25,3500,7.48,2.1,0.0,0.0,0.0,0.0,0.0
Jordan Addison,WR,MIN,CHI,-163,43.00,-3.00,23.00,5700,11.80,2.1,0.0,0.3,6.8,7.1,1.2
Kadarius Toney,WR,KC,LV,-401,43.00,-8.50,25.75,3200,6.65,2.1,0.0,0.5,2.8,3.3,1.0
Diontae Johnson,WR,PIT,CIN,-123,35.50,-1.50,18.50,4900,10.43,2.1,0.0,0.6,7.4,8.0,1.6
D'Andre Swift,RB,PHI,BUF,-169,48.50,-3.50,26.00,6800,14.04,2.1,0.0,15.1,2.6,17.7,2.6
Cade Otton,TE,TB,IND,113,44.00,2.50,20.75,3200,6.83,2.1,0.0,0.0,4.1,4.1,1.3
Zay Flowers,WR,BAL,LAC,-182,48.00,-3.50,25.75,5600,11.48,2.1,0.0,0.6,6.2,6.8,1.2
Keaton Mitchell,RB,BAL,LAC,-182,48.00,-3.50,25.75,4900,10.07,2.1,0.0,8.1,1.4,9.5,1.9
Noah Brown,WR,HOU,JAX,103,47.50,1.50,23.00,4500,9.53,2.1,0.0,0.3,4.9,5.2,1.2
Travis Etienne,RB,JAX,HOU,-122,47.50,-1.50,24.50,7100,14.97,2.1,0.0,15.4,3.5,18.9,2.7
Christian Kirk,WR,JAX,HOU,-122,47.50,-1.50,24.50,5700,11.84,2.1,0.0,0.2,6.3,6.5,1.1
Kyle Pitts,TE,ATL,NO,-111,42.00,-1.00,21.50,4000,8.15,2.0,0.0,0.0,5.2,5.2,1.3
Atlanta Falcons,D,ATL,NO,-111,42.00,-1.00,21.50,2900,5.82,2.0,0.0,0.0,0.0,0.0,0.0
Chigoziem Okonkwo,TE,TEN,CAR,-187,36.50,-3.50,20.00,3100,6.32,2.0,0.0,0.0,3.7,3.7,1.2
Amari Cooper,WR,CLE,DEN,104,36.00,1.50,17.25,5900,12.06,2.0,0.0,0.0,7.5,7.5,1.3
Braxton Berrios,WR,MIA,NYJ,-483,41.00,-9.50,25.25,3000,6.00,2.0,0.0,0.7,2.8,3.5,1.2
Gerald Everett,TE,LAC,BAL,151,48.00,3.50,22.25,3500,6.81,2.0,0.0,0.0,4.0,4.0,1.1
Chris Godwin,WR,TB,IND,113,44.00,2.50,20.75,6300,12.60,2.0,0.0,0.1,7.3,7.4,1.2
Davante Adams,WR,LV,KC,313,43.00,8.50,17.25,7800,15.92,2.0,0.0,0.1,9.8,9.9,1.3
Darnell Mooney,WR,CHI,MIN,136,43.00,3.00,20.00,3300,6.71,2.0,0.0,0.2,4.1,4.3,1.3
Daniel Bellinger,TE,NYG,NE,153,34.00,3.50,15.25,2900,5.93,2.0,0.0,0.0,3.4,3.4,1.2
Tanner Hudson,TE,CIN,PIT,104,35.50,1.50,17.00,2700,5.48,2.0,0.0,0.0,3.1,3.1,1.1
Jaylen Waddle,WR,MIA,NYJ,-483,41.00,-9.50,25.25,7500,14.82,2.0,0.0,0.4,7.5,7.9,1.1
Trey McBride,TE,ARI,LAR,100,44.50,1.50,21.50,4700,9.24,2.0,0.0,0.0,5.5,5.5,1.2
Chicago Bears,D,CHI,MIN,136,43.00,3.00,20.00,2900,5.78,2.0,0.0,0.0,0.0,0.0,0.0
Garrett Wilson,WR,NYJ,MIA,368,41.00,9.50,15.75,6200,12.32,2.0,0.0,0.3,7.8,8.1,1.3
Cole Kmet,TE,CHI,MIN,136,43.00,3.00,20.00,4400,8.87,2.0,0.0,0.0,5.6,5.6,1.3
Jonathan Mingo,WR,CAR,TEN,155,36.50,3.50,16.50,3300,6.56,2.0,0.0,0.1,4.5,4.6,1.4
Ja'Marr Chase,WR,CIN,PIT,104,35.50,1.50,17.00,8300,16.15,2.0,0.0,0.4,8.8,9.2,1.1
Josh Jacobs,RB,LV,KC,313,43.00,8.50,17.25,6700,13.53,2.0,0.0,18.0,3.2,21.2,3.2
George Pickens,WR,PIT,CIN,-123,35.50,-1.50,18.50,4700,9.43,2.0,0.0,0.1,5.9,6.0,1.3
Kyle Philips,WR,TEN,CAR,-187,36.50,-3.50,20.00,3000,6.01,2.0,0.0,0.0,4.1,4.1,1.4
Tyler Boyd,WR,CIN,PIT,104,35.50,1.50,17.00,4600,9.12,2.0,0.0,0.1,4.8,4.9,1.1
DeAndre Hopkins,WR,TEN,CAR,-187,36.50,-3.50,20.00,6100,12.10,2.0,0.0,0.0,7.1,7.1,1.2
Gabe Davis,WR,BUF,PHI,141,48.50,3.50,22.50,5300,10.62,2.0,0.0,0.1,5.5,5.6,1.1
Pittsburgh Steelers,D,PIT,CIN,-123,35.50,-1.50,18.50,3700,7.48,2.0,0.0,0.0,0.0,0.0,0.0
Stefon Diggs,WR,BUF,PHI,141,48.50,3.50,22.50,8800,17.66,2.0,0.0,0.1,9.5,9.6,1.1
Michael Mayer,TE,LV,KC,313,43.00,8.50,17.25,2800,5.71,2.0,0.0,0.0,2.9,2.9,1.0
Puka Nacua,WR,LAR,ARI,-120,44.50,-1.50,23.00,7600,15.05,2.0,0.0,0.0,8.1,8.1,1.1
Joe Mixon,RB,CIN,PIT,104,35.50,1.50,17.00,6300,12.42,2.0,0.0,12.4,2.9,15.3,2.4
Calvin Ridley,WR,JAX,HOU,-122,47.50,-1.50,24.50,6000,11.89,2.0,0.0,0.0,6.6,6.6,1.1
Saquon Barkley,RB,NYG,NE,153,34.00,3.50,15.25,7300,14.86,2.0,0.0,18.0,4.0,22.0,3.0
Mecole Hardman,WR,KC,LV,-401,43.00,-8.50,25.75,3100,6.01,1.9,0.0,0.3,2.6,2.9,0.9
Tyreek Hill,WR,MIA,NYJ,-483,41.00,-9.50,25.25,9500,18.37,1.9,0.0,1.0,9.1,10.1,1.1
Jacksonville Jaguars,D,JAX,HOU,-122,47.50,-1.50,24.50,3000,5.74,1.9,0.0,0.0,0.0,0.0,0.0
Derrick Henry,RB,TEN,CAR,-187,36.50,-3.50,20.00,6400,12.13,1.9,0.0,16.0,1.9,17.9,2.8
Jerome Ford,RB,CLE,DEN,104,36.00,1.50,17.25,5600,10.38,1.9,0.0,12.8,2.4,15.2,2.7
Breece Hall,RB,NYJ,MIA,368,41.00,9.50,15.75,6500,12.52,1.9,0.0,15.1,2.6,17.7,2.7
Baltimore Ravens,D,BAL,LAC,-182,48.00,-3.50,25.75,3000,5.81,1.9,0.0,0.0,0.0,0.0,0.0
A.J. Brown,WR,PHI,BUF,-169,48.50,-3.50,26.00,9000,17.48,1.9,0.0,0.5,8.0,8.5,0.9
DeVonta Smith,WR,PHI,BUF,-169,48.50,-3.50,26.00,7100,13.55,1.9,0.0,0.1,6.9,7.0,1.0
Keenan Allen,WR,LAC,BAL,151,48.00,3.50,22.25,8900,17.26,1.9,0.0,0.2,9.8,10.0,1.1
Jonnu Smith,TE,ATL,NO,-111,42.00,-1.00,21.50,3400,6.32,1.9,0.0,0.0,3.8,3.8,1.1
K.J. Osborn,WR,MIN,CHI,-163,43.00,-3.00,23.00,4200,7.78,1.9,0.0,0.1,4.6,4.7,1.1
Robert Woods,WR,HOU,JAX,103,47.50,1.50,23.00,4000,7.60,1.9,0.0,0.3,4.4,4.7,1.2
Hunter Henry,TE,NE,NYG,-184,34.00,-3.50,18.75,3400,6.37,1.9,0.0,0.0,3.9,3.9,1.1
Allen Lazard,WR,NYJ,MIA,368,41.00,9.50,15.75,3400,6.28,1.9,0.0,0.1,4.1,4.2,1.2
Khalil Herbert,RB,CHI,MIN,136,43.00,3.00,20.00,5100,9.54,1.9,0.0,10.8,2.7,13.5,2.6
James Cook,RB,BUF,PHI,141,48.50,3.50,22.50,6200,11.53,1.9,0.0,11.9,2.4,14.3,2.3
Tee Higgins,WR,CIN,PIT,104,35.50,1.50,17.00,6200,11.61,1.9,0.0,0.0,6.4,6.4,1.0
Tim Boyle,QB,NYJ,MIA,368,41.00,9.50,15.75,4500,8.36,1.9,30.5,2.3,0.0,2.3,7.3
Alvin Kamara,RB,NO,ATL,-107,42.00,1.00,20.50,8400,15.74,1.9,0.0,13.4,5.1,18.5,2.2
Arizona Cardinals,D,ARI,LAR,100,44.50,1.50,21.50,3000,5.59,1.9,0.0,0.0,0.0,0.0,0.0
Aidan O'Connell,QB,LV,KC,313,43.00,8.50,17.25,5000,9.55,1.9,27.0,2.1,0.0,2.1,5.8
Cleveland Browns,D,CLE,DEN,104,36.00,1.50,17.25,3800,7.29,1.9,0.0,0.0,0.0,0.0,0.0
Buffalo Bills,D,BUF,PHI,141,48.50,3.50,22.50,2700,5.17,1.9,0.0,0.0,0.0,0.0,0.0
Philadelphia Eagles,D,PHI,BUF,-169,48.50,-3.50,26.00,2900,5.64,1.9,0.0,0.0,0.0,0.0,0.0
Tyler Conklin,TE,NYJ,MIA,368,41.00,9.50,15.75,3000,5.74,1.9,0.0,0.0,3.9,3.9,1.3
Tyler Allgeier,RB,ATL,NO,-111,42.00,-1.00,21.50,4600,8.07,1.8,0.0,9.6,1.5,11.1,2.4
Indianapolis Colts,D,IND,TB,-134,44.00,-2.50,23.25,3400,5.96,1.8,0.0,0.0,0.0,0.0,0.0
Van Jefferson,WR,ATL,NO,-111,42.00,-1.00,21.50,3100,5.65,1.8,0.0,0.1,3.4,3.5,1.1
Courtland Sutton,WR,DEN,CLE,-124,36.00,-1.50,18.75,5400,9.71,1.8,0.0,0.0,5.4,5.4,1.0
JuJu Smith-Schuster,WR,NE,NYG,-184,34.00,-3.50,18.75,3000,5.45,1.8,0.0,0.2,3.6,3.8,1.3
Tyjae Spears,RB,TEN,CAR,-187,36.50,-3.50,20.00,4400,7.79,1.8,0.0,5.2,3.4,8.6,2.0
Rashee Rice,WR,KC,LV,-401,43.00,-8.50,25.75,5500,9.95,1.8,0.0,0.0,5.1,5.1,0.9
Dalton Kincaid,TE,BUF,PHI,141,48.50,3.50,22.50,5300,9.57,1.8,0.0,0.0,5.1,5.1,1.0
Tutu Atwell,WR,LAR,ARI,-120,44.50,-1.50,23.00,4100,7.52,1.8,0.0,0.3,4.5,4.8,1.2
Kareem Hunt,RB,CLE,DEN,104,36.00,1.50,17.25,4800,8.71,1.8,0.0,10.6,1.1,11.7,2.4
Raheem Mostert,RB,MIA,NYJ,-483,41.00,-9.50,25.25,7200,12.95,1.8,0.0,13.1,2.8,15.9,2.2
Jerry Jeudy,WR,DEN,CLE,-124,36.00,-1.50,18.75,4900,8.50,1.7,0.0,0.2,5.4,5.6,1.1
Tank Dell,WR,HOU,JAX,103,47.50,1.50,23.00,6900,11.58,1.7,0.0,0.1,6.1,6.2,0.9
Las Vegas Raiders,D,LV,KC,313,43.00,8.50,17.25,2800,4.63,1.7,0.0,0.0,0.0,0.0,0.0
Tampa Bay Buccaneers,D,TB,IND,113,44.00,2.50,20.75,3300,5.68,1.7,0.0,0.0,0.0,0.0,0.0
Mike Evans,WR,TB,IND,113,44.00,2.50,20.75,7400,12.30,1.7,0.0,0.1,6.9,7.0,0.9
Alec Pierce,WR,IND,TB,-134,44.00,-2.50,23.25,3200,5.38,1.7,0.0,0.0,3.0,3.0,1.0
Nico Collins,WR,HOU,JAX,103,47.50,1.50,23.00,6400,10.77,1.7,0.0,0.0,6.1,6.1,1.0
Chuba Hubbard,RB,CAR,TEN,155,36.50,3.50,16.50,4800,8.27,1.7,0.0,11.2,1.6,12.8,2.7
New Orleans Saints,D,NO,ATL,-107,42.00,1.00,20.50,3600,6.04,1.7,0.0,0.0,0.0,0.0,0.0
Adam Thielen,WR,CAR,TEN,155,36.50,3.50,16.50,7300,12.70,1.7,0.0,0.0,8.3,8.3,1.1
Dalton Schultz,TE,HOU,JAX,103,47.50,1.50,23.00,5400,9.28,1.7,0.0,0.0,5.2,5.2,1.0
Tyler Higbee,TE,LAR,ARI,-120,44.50,-1.50,23.00,3500,5.50,1.6,0.0,0.0,3.3,3.3,0.9
