Player,Team,Pos,Injury,Status,Est. Return
Andrew Adams,FA,S,Knee,Questionable,Subscribers Only
Jamal Adams,SEA,S,Knee,Questionable,Subscribers Only
Tony Adams,NYJ,S,Hamstring,Questionable,Subscribers Only
Paulson Adebo,NO,CB,Hamstring,Questionable,Subscribers Only
Jamal Agnew,JAX,WR,Quadriceps,Questionable,Subscribers Only
Salvon Ahmed,MIA,RB,Groin,Questionable,Subscribers Only
Brandon Aiyuk,SF,WR,Shoulder,Questionable,Subscribers Only
Otaro Alaka,FA,LB,Undisclosed,Questionable,Subscribers Only
Christian Albright,FA,LB,Undisclosed,Questionable,Subscribers Only
Jaire Alexander,GB,CB,Back,Questionable,Subscribers Only
Mackensie Alexander,FA,CB,Undisclosed,Questionable,Subscribers Only
Josh Ali,ATL,WR,Ankle,Questionable,Subscribers Only
Chase Allen,FA,TE,Undisclosed,Questionable,Subscribers Only
Christopher Allen,FA,LB,Groin,Questionable,Subscribers Only
Josh Allen,JAX,LB,Shoulder,Questionable,Subscribers Only
Torrence Allen,FA,WR,Undisclosed,Questionable,Subscribers Only
Jaquan Amos,FA,S,Undisclosed,Questionable,Subscribers Only
Bradlee Anae,NYJ,DE,Undisclosed,IR,Subscribers Only
Troy Andersen,ATL,LB,Shoulder,IR,Subscribers Only
Darius Anderson,FA,RB,Knee,Questionable,Subscribers Only
Henry Anderson,CAR,DE,Foot,IR,Subscribers Only
Jack Anderson,FA,OG,Undisclosed,Out,Subscribers Only
Zayne Anderson,GB,S,Hamstring,Out,Subscribers Only
Ezekiel Ansah,FA,DE,Biceps,Questionable,Subscribers Only
Troy Apke,WAS,CB,Shoulder,IR,Subscribers Only
Terron Armstead,MIA,OT,Back,Questionable,Subscribers Only
Cornell Armstrong,FA,CB,Hamstring,Questionable,Subscribers Only
Jaytlin Askew,FA,CB,Quadriceps,Questionable,Subscribers Only
Denico Autry,TEN,LB,Groin,Questionable,Subscribers Only
Anthony Averett,FA,CB,Undisclosed,Questionable,Subscribers Only
C. J. Avery,FA,LB,Undisclosed,Questionable,Subscribers Only
Genard Avery,IND,DE,Knee - Meniscus,IR,Subscribers Only
Alex Bachman,FA,WR,Oblique,Questionable,Subscribers Only
David Bada,WAS,DT,Triceps,IR,Subscribers Only
Budda Baker,ARI,S,Hamstring,IR,Subscribers Only
David Bakhtiari,GB,OT,Knee,IR,Subscribers Only
Daylen Baldwin,FA,WR,Hamstring,Questionable,Subscribers Only
Josh Ball,DAL,OT,Hip,IR,Subscribers Only
Matt Barkley,FA,QB,Elbow,Questionable,Subscribers Only
Saquon Barkley,NYG,RB,Ankle,Questionable,Subscribers Only
Christian Barmore,NE,DT,Knee,Questionable,Subscribers Only
Krys Barnes,ARI,LB,Finger,Questionable,Subscribers Only
Rashod Bateman,BAL,WR,Hamstring,Questionable,Subscribers Only
Ryan Bates,BUF,OG,Ankle,Questionable,Subscribers Only
Evan Baylis,FA,TE,Ankle,Questionable,Subscribers Only
Robert Beal,SF,DE,Hamstring,IR,Subscribers Only
Cole Beasley,FA,WR,Leg,Out,Subscribers Only
Abraham Beauplan,FA,LB,Undisclosed,Questionable,Subscribers Only
Willie Beavers,FA,OG,Undisclosed,Questionable,Subscribers Only
Nate Becker,FA,TE,Undisclosed,Questionable,Subscribers Only
Odell Beckham,BAL,WR,Ankle,Questionable,Subscribers Only
Daniel Bellinger,NYG,TE,Neck,Questionable,Subscribers Only
B.J. Bello,FA,LB,Ankle,Questionable,Subscribers Only
Eno Benjamin,NO,RB,Achilles,IR,Subscribers Only
Jakorian Bennett,LV,CB,Hamstring,Questionable,Subscribers Only
Stetson Bennett,LAR,QB,Illness,NFI-R,Subscribers Only
Jarrick Bernard-Converse,NYJ,CB,Foot,PUP-R,Subscribers Only
