PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Brock Purdy,QB,SF,SEA,-342,43.50,-7.00,25.25,6100,18.51,3.0,29.7,4.0,0.0,4.0,5.5
Dak Prescott,QB,DAL,WAS,-792,47.50,-13.50,30.50,6800,20.69,3.0,34.1,3.0,0.0,3.0,5.5
Zach Charbonnet,RB,SEA,SF,268,43.50,7.00,18.25,5300,14.81,2.8,0.0,15.5,4.8,20.3,3.8
Jordan Love,QB,GB,DET,312,47.00,8.50,19.25,5500,15.28,2.8,27.5,2.6,0.0,2.6,5.5
Geno Smith,QB,SEA,SF,268,43.50,7.00,18.25,5600,15.44,2.8,35.0,2.9,0.0,2.9,6.8
Jared Goff,QB,DET,GB,-400,47.00,-8.50,27.75,6300,17.89,2.8,33.9,1.2,0.0,1.2,5.6
Sam Howell,QB,WAS,DAL,541,47.50,13.50,17.00,6200,15.81,2.6,36.0,3.5,0.0,3.5,6.4
Jake Ferguson,TE,DAL,WAS,-792,47.50,-13.50,30.50,3900,9.69,2.5,0.0,0.0,4.6,4.6,1.2
Tony Pollard,RB,DAL,WAS,-792,47.50,-13.50,30.50,6700,16.36,2.4,0.0,14.3,4.3,18.6,2.8
Christian McCaffrey,RB,SF,SEA,-342,43.50,-7.00,25.25,8700,20.70,2.4,0.0,15.2,5.0,20.2,2.3
Terry McLaurin,WR,WAS,DAL,541,47.50,13.50,17.00,5400,12.17,2.3,0.0,0.3,7.5,7.8,1.4
Jayden Reed,WR,GB,DET,312,47.00,8.50,19.25,4200,9.60,2.3,0.0,0.0,5.5,5.5,1.3
Detroit Lions,D,DET,GB,-400,47.00,-8.50,27.75,3200,7.26,2.3,0.0,0.0,0.0,0.0,0.0
Jahmyr Gibbs,RB,DET,GB,-400,47.00,-8.50,27.75,6800,15.34,2.3,0.0,8.8,5.1,13.9,2.0
Logan Thomas,TE,WAS,DAL,541,47.50,13.50,17.00,3500,7.99,2.3,0.0,0.0,5.5,5.5,1.6
Amon-Ra St. Brown,WR,DET,GB,-400,47.00,-8.50,27.75,8500,19.11,2.3,0.0,0.6,9.4,10.0,1.2
Christian Watson,WR,GB,DET,312,47.00,8.50,19.25,4300,10.00,2.3,0.0,0.3,5.6,5.9,1.4
Jaxon Smith-Njigba,WR,SEA,SF,268,43.50,7.00,18.25,4100,9.40,2.3,0.0,0.1,5.6,5.7,1.4
CeeDee Lamb,WR,DAL,WAS,-792,47.50,-13.50,30.50,8700,19.44,2.2,0.0,0.9,8.2,9.1,1.0
Jameson Williams,WR,DET,GB,-400,47.00,-8.50,27.75,3400,7.60,2.2,0.0,0.2,3.1,3.3,1.0
Brandin Cooks,WR,DAL,WAS,-792,47.50,-13.50,30.50,4500,9.82,2.2,0.0,0.1,4.4,4.5,1.0
Dallas Cowboys,D,DAL,WAS,-792,47.50,-13.50,30.50,3800,8.49,2.2,0.0,0.0,0.0,0.0,0.0
Deebo Samuel,WR,SF,SEA,-342,43.50,-7.00,25.25,5900,12.35,2.1,0.0,2.2,6.1,8.3,1.4
David Montgomery,RB,DET,GB,-400,47.00,-8.50,27.75,6300,13.04,2.1,0.0,15.5,1.3,16.8,2.7
Brandon Aiyuk,WR,SF,SEA,-342,43.50,-7.00,25.25,7000,14.85,2.1,0.0,0.5,7.2,7.7,1.1
San Francisco 49ers,D,SF,SEA,-342,43.50,-7.00,25.25,3600,7.41,2.1,0.0,0.0,0.0,0.0,0.0
Jahan Dotson,WR,WAS,DAL,541,47.50,13.50,17.00,4600,9.59,2.1,0.0,0.0,6.1,6.1,1.3
Curtis Samuel,WR,WAS,DAL,541,47.50,13.50,17.00,3600,7.62,2.1,0.0,1.1,4.3,5.4,1.5
Romeo Doubs,WR,GB,DET,312,47.00,8.50,19.25,5000,10.24,2.1,0.0,0.1,5.8,5.9,1.2
Sam LaPorta,TE,DET,GB,-400,47.00,-8.50,27.75,5200,10.46,2.0,0.0,0.0,6.2,6.2,1.2
DK Metcalf,WR,SEA,SF,268,43.50,7.00,18.25,6500,13.00,2.0,0.0,0.2,7.8,8.0,1.2
George Kittle,TE,SF,SEA,-342,43.50,-7.00,25.25,6000,11.94,2.0,0.0,0.0,5.7,5.7,1.0
Tucker Kraft,TE,GB,DET,312,47.00,8.50,19.25,2500,4.91,2.0,0.0,0.0,3.2,3.2,1.3
Tyler Lockett,WR,SEA,SF,268,43.50,7.00,18.25,6000,12.10,2.0,0.0,0.1,6.7,6.8,1.1
AJ Dillon,RB,GB,DET,312,47.00,8.50,19.25,5400,10.02,1.9,0.0,12.3,2.3,14.6,2.7
Seattle Seahawks,D,SEA,SF,268,43.50,7.00,18.25,2600,4.97,1.9,0.0,0.0,0.0,0.0,0.0
Kalif Raymond,WR,DET,GB,-400,47.00,-8.50,27.75,3000,5.30,1.8,0.0,0.2,2.6,2.8,0.9
Green Bay Packers,D,GB,DET,312,47.00,8.50,19.25,2800,4.93,1.8,0.0,0.0,0.0,0.0,0.0
Josh Reynolds,WR,DET,GB,-400,47.00,-8.50,27.75,3500,5.90,1.7,0.0,0.1,3.2,3.3,0.9
Antonio Gibson,RB,WAS,DAL,541,47.50,13.50,17.00,4500,7.48,1.7,0.0,3.7,3.4,7.1,1.6
Brian Robinson,RB,WAS,DAL,541,47.50,13.50,17.00,5900,9.70,1.6,0.0,11.6,2.4,14.0,2.4
Michael Gallup,WR,DAL,WAS,-792,47.50,-13.50,30.50,3700,5.85,1.6,0.0,0.0,3.1,3.1,0.8
Washington Commanders,D,WAS,DAL,541,47.50,13.50,17.00,2500,3.60,1.4,0.0,0.0,0.0,0.0,0.0
Noah Fant,TE,SEA,SF,268,43.50,7.00,18.25,2700,3.74,1.4,0.0,0.0,2.4,2.4,0.9
Jalen Tolbert,WR,DAL,WAS,-792,47.50,-13.50,30.50,3100,4.16,1.3,0.0,0.0,2.2,2.2,0.7
Colby Parkinson,TE,SEA,SF,268,43.50,7.00,18.25,2500,3.01,1.2,0.0,0.0,2.0,2.0,0.8
Jake Bobo,WR,SEA,SF,268,43.50,7.00,18.25,3000,3.15,1.1,0.0,0.0,2.1,2.1,0.7
