name,position,year,week,value,PROJ. FPTS
"Philadelphia, Eagles",DST,2023,4,"$3,500 ",13.9
"Denver, Broncos",DST,2023,4,"$2,500 ",9.9
"Kamara, Alvin",RB,2023,4,"$4,000 ",15.7
"Indianapolis, Colts",DST,2023,4,"$2,400 ",9.1
"Tampa Bay, Buccaneers",DST,2023,4,"$2,700 ",9.6
"New Orleans, Saints",DST,2023,4,"$2,900 ",10.1
"Washington, Commanders",DST,2023,4,"$2,400 ",8.4
"Houston, Texans",DST,2023,4,"$2,500 ",8.6
"Cleveland, Browns",DST,2023,4,"$3,300 ",11.2
"Williams, Kyren",RB,2023,4,"$5,500 ",18.3
"Chicago, Bears",DST,2023,4,"$2,200 ",7.3
"New York Jets, Jets",DST,2023,4,"$2,800 ",9.3
"Buffalo, Bills",DST,2023,4,"$2,900 ",9.4
"Los Angeles, Chargers",DST,2023,4,"$2,700 ",8.6
"Atlanta, Falcons",DST,2023,4,"$2,700 ",8.6
"Mostert, Raheem",RB,2023,4,"$6,000 ",18.9
"Tennessee, Titans",DST,2023,4,"$3,000 ",9.4
"Robinson, Bijan",RB,2023,4,"$7,800 ",24.2
"Walker III, Kenneth",RB,2023,4,"$6,200 ",19.3
"Los Angeles, Rams",DST,2023,4,"$3,000 ",9.2
"Cincinnati, Bengals",DST,2023,4,"$3,100 ",9.4
"Minnesota, Vikings",DST,2023,4,"$2,800 ",8.5
"Pittsburgh, Steelers",DST,2023,4,"$3,300 ",10
"Seattle, Seahawks",DST,2023,4,"$3,200 ",9.6
"Green Bay, Packers",DST,2023,4,"$3,100 ",9.3
"Kansas City, Chiefs",DST,2023,4,"$3,900 ",11.4
"Etienne Jr., Travis",RB,2023,4,"$6,900 ",20
"Baltimore, Ravens",DST,2023,4,"$3,700 ",10.4
"New England, Patriots",DST,2023,4,"$3,500 ",9.8
"Allen, Josh",QB,2023,4,"$8,100 ",22.5
"LaPorta, Sam",TE,2023,4,"$4,000 ",10.9
"Sanders, Miles",RB,2023,4,"$5,700 ",15.5
"Cook, James",RB,2023,4,"$6,400 ",17.1
"Arizona, Cardinals",DST,2023,4,"$2,300 ",6.1
"Jacobs, Josh",RB,2023,4,"$7,000 ",18.5
"Miami, Dolphins",DST,2023,4,"$3,600 ",9.5
"Smith, Geno",QB,2023,4,"$5,700 ",15
"Detroit, Lions",DST,2023,4,"$3,400 ",8.9
"Dallas, Cowboys",DST,2023,4,"$4,400 ",11.5
"Ford, Jerome",RB,2023,4,"$4,800 ",12.5
"Tagovailoa, Tua",QB,2023,4,"$7,000 ",18.2
"Richardson, Anthony",QB,2023,4,"$6,700 ",17.4
"Las Vegas, Raiders",DST,2023,4,"$3,200 ",8.3
"Pollard, Tony",RB,2023,4,"$8,000 ",20.5
"Moss, Zack",RB,2023,4,"$5,500 ",14
"Mixon, Joe",RB,2023,4,"$6,500 ",16.4
"Carolina, Panthers",DST,2023,4,"$2,600 ",6.5
"Hurts, Jalen",QB,2023,4,"$8,000 ",19.8
"Burrow, Joe",QB,2023,4,"$6,600 ",16.4
"Dell, Tank",WR,2023,4,"$3,600 ",8.9
"Ferguson, Jake",TE,2023,4,"$3,600 ",8.9
"Herbert, Justin",QB,2023,4,"$7,500 ",18.5
"Mattison, Alexander",RB,2023,4,"$5,800 ",14.3
"Williams, Javonte",RB,2023,4,"$5,500 ",13.4
"Freiermuth, Pat",TE,2023,4,"$3,600 ",8.7
"Henry, Derrick",RB,2023,4,"$7,400 ",17.9
"Achane, De'Von",RB,2023,4,"$5,000 ",12
"Jacksonville, Jaguars",DST,2023,4,"$3,800 ",9.1
"Gibbs, Jahmyr",RB,2023,4,"$6,600 ",15.8
"Swift, D'Andre",RB,2023,4,"$5,700 ",13.4
"Engram, Evan",TE,2023,4,"$4,800 ",11.2
"Stevenson, Rhamondre",RB,2023,4,"$6,700 ",15.6
"Thielen, Adam",WR,2023,4,"$3,900 ",9
"Pacheco, Isiah",RB,2023,4,"$5,400 ",12.3
"Cousins, Kirk",QB,2023,4,"$6,900 ",15.7
"Mahomes, Patrick",QB,2023,4,"$8,300 ",18.8
"Lawrence, Trevor",QB,2023,4,"$6,800 ",15.2
"Watson, Deshaun",QB,2023,4,"$6,100 ",13.7
"Musgrave, Luke",TE,2023,4,"$3,300 ",7.4
"White, Rachaad",RB,2023,4,"$5,900 ",13.2
"Johnston, Quentin",WR,2023,4,"$3,400 ",7.5
"Wilson, Russell",QB,2023,4,"$5,900 ",13.1
"Love, Jordan",QB,2023,4,"$5,600 ",12.5
"Robinson Jr., Brian",RB,2023,4,"$5,800 ",12.8
"Warren, Jaylen",RB,2023,4,"$4,900 ",10.9
"Pickens, George",WR,2023,4,"$5,300 ",11.5
"Johnson, Roschon",RB,2023,4,"$4,700 ",10.3
"Kelley, Joshua",RB,2023,4,"$5,400 ",11.7
