player,pos,year,week,dk_salary,fantasy_score
"Baltimore, Ravens",DST,2023,5,$3200,13.9
"Washington, Commanders",DST,2023,5,$2400,10.1
"Buffalo, Bills",DST,2023,5,$2700,11.2
"Arizona, Cardinals",DST,2023,5,$2200,8.9
"Miami, Dolphins",DST,2023,5,$2600,9.9
"Las Vegas, Raiders",DST,2023,5,$2300,8.5
"New York Jets, Jets",DST,2023,5,$2600,9.4
"Carolina, Panthers",DST,2023,5,$2500,8.6
"Philadelphia, Eagles",DST,2023,5,$4100,14.1
"Atlanta, Falcons",DST,2023,5,$2700,9.1
"Swift, D'Andre",RB,2023,5,$5700,18.9
"Indianapolis, Colts",DST,2023,5,$2900,9.4
"Kupp, Cooper",WR,2023,5,$3000,9.7
"New England, Patriots",DST,2023,5,$3000,9.6
"Green Bay, Packers",DST,2023,5,$2900,9.3
"Houston, Texans",DST,2023,5,$2900,9.2
"New Orleans, Saints",DST,2023,5,$3600,11.4
"Robinson, Bijan",RB,2023,5,$7700,24.2
"Chicago, Bears",DST,2023,5,$2700,8.4
"Williams, Kyren",RB,2023,5,$6000,17.9
"New York Giants, Giants",DST,2023,5,$2800,8.3
"Robinson Jr., Brian",RB,2023,5,$5600,16.4
"Detroit, Lions",DST,2023,5,$3300,9.6
"Jacobs, Josh",RB,2023,5,$7100,20.5
"Mixon, Joe",RB,2023,5,$6400,18.3
"Los Angeles, Rams",DST,2023,5,$3000,8.6
"Kincaid, Dalton",TE,2023,5,$3200,8.9
"Achane, De'Von",RB,2023,5,$5700,15.8
"Jacksonville, Jaguars",DST,2023,5,$3400,9.3
"McCaffrey, Christian",RB,2023,5,$9200,24.6
"Etienne Jr., Travis",RB,2023,5,$7200,19.3
"Tennessee, Titans",DST,2023,5,$3400,9.1
"Henry, Derrick",RB,2023,5,$7000,18.5
"Pacheco, Isiah",RB,2023,5,$5500,14.6
"LaPorta, Sam",TE,2023,5,$4600,12.2
"Denver, Broncos",DST,2023,5,$3700,9.8
"Montgomery, David",RB,2023,5,$5900,15.5
"McLaughlin, Jaleel",RB,2023,5,$4000,10.5
"Dallas, Cowboys",DST,2023,5,$4000,10.4
"Pollard, Tony",RB,2023,5,$7800,20.0
"Kamara, Alvin",RB,2023,5,$6100,15.6
"Taylor, Jonathan",RB,2023,5,$4000,10.3
"Jones, Aaron",RB,2023,5,$6800,17.1
"Cook, James",RB,2023,5,$6300,15.7
"Cincinnati, Bengals",DST,2023,5,$3800,9.5
"Ferguson, Jake",TE,2023,5,$3500,8.7
"Herbert, Khalil",RB,2023,5,$4700,11.7
"San Francisco, 49ers",DST,2023,5,$4700,11.5
"Minnesota, Vikings",DST,2023,5,$3500,8.6
"Pierce, Dameon",RB,2023,5,$5100,12.3
"Hall, Breece",RB,2023,5,$5500,13.2
"Pittsburgh, Steelers",DST,2023,5,$3900,9.4
"Kansas City, Chiefs",DST,2023,5,$4200,10.0
"Andrews, Mark",TE,2023,5,$5400,12.7
"Collins, Nico",WR,2023,5,$5100,11.9
"Warren, Jaylen",RB,2023,5,$5000,11.6
"McLaurin, Terry",WR,2023,5,$5300,12.1
"Wilson, Michael",WR,2023,5,$3500,8.0
"Rice, Rashee",WR,2023,5,$3600,8.2
"Conner, James",RB,2023,5,$5900,13.4
"Stevenson, Rhamondre",RB,2023,5,$6200,14.0
"Downs, Josh",WR,2023,5,$3500,7.8
"Flowers, Zay",WR,2023,5,$5600,12.4
"Mattison, Alexander",RB,2023,5,$5800,12.8
"Mostert, Raheem",RB,2023,5,$6500,14.3
"Brown, Marquise",WR,2023,5,$5000,10.9
"Harris, Najee",RB,2023,5,$5500,12.0
"Musgrave, Luke",TE,2023,5,$3300,7.1
"Dell, Tank",WR,2023,5,$4600,9.9
"Robinson, Wan'Dale",WR,2023,5,$3000,6.4
"Kittle, George",TE,2023,5,$5100,10.9
"Ertz, Zach",TE,2023,5,$3200,6.8
"Smith, Jonnu",TE,2023,5,$2600,5.6
"Kirk, Christian",WR,2023,5,$5500,11.7
"Goedert, Dallas",TE,2023,5,$4400,9.4
"Spears, Tyjae",RB,2023,5,$4700,10.0
"Aiyuk, Brandon",WR,2023,5,$6200,13.1
"Sanders, Miles",RB,2023,5,$5800,12.2
"Edwards, Gus",RB,2023,5,$5200,10.9
"Allgeier, Tyler",RB,2023,5,$5000,10.4
"Perine, Samaje",RB,2023,5,$4700,9.8
"Thielen, Adam",WR,2023,5,$4500,9.3
"Kelce, Travis",TE,2023,5,$7400,15.2
"Pickens, George",WR,2023,5,$5400,11.1
"Hockenson, T.J.",TE,2023,5,$6500,13.4
"Gibson, Antonio",RB,2023,5,$4600,9.4
"Olave, Chris",WR,2023,5,$7100,14.5
"Pittman Jr., Michael",WR,2023,5,$6500,13.2
"Waller, Darren",TE,2023,5,$5500,11.2
"Gibbs, Jahmyr",RB,2023,5,$6600,13.4
"Reed, Jayden",WR,2023,5,$4000,8.1
"Hill, Tyreek",WR,2023,5,$9200,18.4
"Hubbard, Chuba",RB,2023,5,$4800,9.6
