,name,pos,salary,prediction
0,Deshaun Watson,QB,5700,17.63
1,Baker Mayfield,QB,5300,15.71
2,Brock Purdy,QB,5500,16.22
3,Geno Smith,QB,6000,18.17
4,Jalen Hurts,QB,8100,23.96
5,Sam Howell,QB,5500,16.42
6,Daniel Jones,QB,5600,16.11
7,Joshua Dobbs,QB,5300,14.73
8,Michael Mayer,TE,2700,7.53
9,Lamar Jackson,QB,7600,21.17
10,Derek Carr,QB,5400,14.83
11,David Njoku,TE,3400,9.35
12,Russell Wilson,QB,5400,14.96
13,Jimmy Garoppolo,QB,5200,14.21
14,Patrick Mahomes,QB,8300,22.68
15,Trevor Lawrence,QB,6300,16.87
16,Jordan Love,QB,5800,15.53
17,Jared Goff,QB,6400,16.63
18,Matthew Stafford,QB,6500,16.71
19,Josh Allen,QB,8200,21.01
20,Baltimore Ravens,Def,2500,6.58
21,Jaxon Smith-Njigba,WR,3900,10.29
22,Desmond Ridder,QB,5200,12.96
23,Evan Engram,TE,4500,11.16
24,Luke Musgrave,TE,3300,7.92
25,D'Andre Swift,RB,6300,14.93
26,Christian McCaffrey,RB,9400,22.3
27,Cleveland Browns,Def,3300,7.81
28,Tua Tagovailoa,QB,7700,18.78
29,Seattle Seahawks,Def,3200,7.82
30,New England Patriots,Def,2100,5.04
31,Michael Thomas,WR,4900,11.98
32,Wan'Dale Robinson,WR,3800,9.0
33,Drake London,WR,5100,12.18
34,Trey McBride,TE,2600,6.27
35,Marquise Brown,WR,5300,12.64
36,San Francisco 49ers,Def,3500,8.14
37,Kansas City Chiefs,Def,2400,5.53
38,Kyle Pitts,TE,4000,9.23
39,Zach Ertz,TE,3200,7.52
40,Pat Freiermuth,TE,3900,8.93
41,Christian Kirk,WR,5700,13.41
42,Curtis Samuel,WR,4000,9.12
43,Kadarius Toney,WR,3800,8.92
44,Justin Herbert,QB,8000,18.79
45,Alvin Kamara,RB,6900,16.17
46,Kirk Cousins,QB,6900,15.77
47,Kenny Pickett,QB,5000,11.61
48,Austin Ekeler,RB,8600,19.95
49,Terry McLaurin,WR,5400,12.38
50,Elijah Moore,WR,4200,9.74
51,Dallas Goedert,TE,4700,10.88
52,Bijan Robinson,RB,7300,16.16
53,Tutu Atwell,WR,4300,9.25
54,Jonnu Smith,TE,3600,7.85
55,Travis Etienne,RB,7200,15.99
56,Christian Watson,WR,5600,12.1
57,Rashid Shaheed,WR,3800,8.16
58,Kendrick Bourne,WR,4400,9.45
59,Dawson Knox,TE,2900,6.39
60,Javonte Williams,RB,5400,12.01
61,George Pickens,WR,5500,12.26
62,Rachaad White,RB,5100,11.03
63,Kylen Granson,TE,3000,6.52
64,Deven Thompkins,WR,3000,6.51
65,Amari Cooper,WR,6100,13.46
66,Denver Broncos,Def,2600,5.65
67,Tyson Bagent,QB,4900,10.94
68,Mac Jones,QB,4900,10.71
69,Roschon Johnson,RB,4600,10.16
70,Travis Kelce,TE,8000,17.24
71,Logan Thomas,TE,3500,7.81
72,A.J. Brown,WR,7900,17.03
73,Cooper Kupp,WR,9500,19.43
74,Amon-Ra St. Brown,WR,8000,17.05
75,Najee Harris,RB,5200,10.76
76,K.J. Osborn,WR,4600,9.67
77,Washington Commanders,Def,3500,7.36
78,New Orleans Saints,Def,3200,6.74
79,George Kittle,TE,5300,10.98
80,Chris Olave,WR,6300,13.42
81,Tyler Lockett,WR,6000,12.69
82,Arizona Cardinals,Def,2300,4.75
83,Deebo Samuel,WR,6000,12.39
84,Los Angeles Rams,Def,3900,7.99
85,Mark Andrews,TE,5700,12.16
86,Dalton Kincaid,TE,3100,6.4
87,Chicago Bears,Def,2900,6.04
88,Stefon Diggs,WR,8900,18.28
89,Jahmyr Gibbs,RB,6300,13.45
90,Jameson Williams,WR,3800,7.78
91,Diontae Johnson,WR,5000,10.49
92,Isiah Pacheco,RB,6100,12.84
93,Zach Evans,RB,4000,8.23
94,Tampa Bay Buccaneers,Def,3600,7.63
95,Detroit Lions,Def,2700,5.57
96,Josh Downs,WR,4500,8.93
97,Keenan Allen,WR,8600,17.17
98,New York Giants,Def,3000,5.84
99,Rhamondre Stevenson,RB,5600,11.16
100,Skyy Moore,WR,3500,7.02
101,Kenneth Walker,RB,7000,14.01
102,Philadelphia Eagles,Def,2700,5.34
103,Davante Adams,WR,8200,16.39
104,DK Metcalf,WR,6800,13.65
105,Braxton Berrios,WR,3000,6.13
106,Calvin Ridley,WR,6400,12.85
107,DJ Moore,WR,6500,12.79
108,Jaylen Waddle,WR,7500,14.81
109,Josh Jacobs,RB,7400,14.45
110,Joshua Palmer,WR,4800,9.5
111,Darren Waller,TE,5000,10.11
112,Las Vegas Raiders,Def,3800,7.69
113,Tyreek Hill,WR,9400,18.53
114,Allen Robinson,WR,3600,7.02
115,Rondale Moore,WR,3500,6.9
116,Brandon Aiyuk,WR,6700,13.37
117,DeVonta Smith,WR,7000,13.83
118,Jerome Ford,RB,5100,10.37
119,Sam LaPorta,TE,5300,10.83
120,Atlanta Falcons,Def,2800,5.71
121,Michael Pittman,WR,6600,12.94
122,Tyler Higbee,TE,3700,7.4
123,Cole Kmet,TE,4200,7.89
124,Deonte Harty,WR,3000,5.75
125,Chris Godwin,WR,6900,13.04
126,Raheem Mostert,RB,7600,14.63
127,Jonathan Taylor,RB,6500,12.59
128,Buffalo Bills,Def,4200,8.11
129,Odell Beckham,WR,3900,7.33
130,Aaron Jones,RB,6800,12.88
131,Zay Flowers,WR,5700,10.83
132,Jaylen Warren,RB,5000,9.44
133,Jordan Addison,WR,5800,11.17
134,Pittsburgh Steelers,Def,3100,5.78
135,Puka Nacua,WR,7600,14.55
136,Romeo Doubs,WR,4900,9.4
137,Darius Slayton,WR,3700,6.94
138,Jacksonville Jaguars,Def,3300,6.26
139,Jahan Dotson,WR,4600,8.64
140,Jerry Jeudy,WR,5800,11.09
141,Los Angeles Chargers,Def,2200,4.24
142,Brandon Powell,WR,3200,5.76
143,JuJu Smith-Schuster,WR,3200,5.85
144,Jayden Reed,WR,3700,6.51
145,T.J. Hockenson,TE,6700,12.21
146,Mike Evans,WR,7100,12.72
147,Calvin Austin,WR,3300,6.02
148,Noah Fant,TE,2800,5.0
149,Courtland Sutton,WR,5200,9.42
150,Rashee Rice,WR,4700,8.41
151,Indianapolis Colts,Def,3400,6.23
152,Gabe Davis,WR,5900,10.78
153,Saquon Barkley,RB,8100,14.8
154,Gardner Minshew,QB,5200,9.49
155,Jeff Wilson,RB,4000,7.35
156,Gerald Everett,TE,3800,6.82
157,Quentin Johnston,WR,3800,6.74
158,Jakobi Meyers,WR,6200,11.16
159,Michael Wilson,WR,3800,6.5
160,Hunter Henry,TE,4100,7.06
161,Brian Robinson,RB,5800,9.85
162,Kalif Raymond,WR,3400,5.81
163,Demario Douglas,WR,3000,4.99
164,Miami Dolphins,Def,2700,4.61
165,Alexander Mattison,RB,5500,9.32
166,Minnesota Vikings,Def,2800,4.66
167,DeVante Parker,WR,3400,5.62
168,Justice Hill,RB,4600,7.71
169,Nelson Agholor,WR,3400,5.65
170,Kareem Hunt,RB,5000,7.97
171,Darnell Mooney,WR,3500,5.49
172,James Cook,RB,6400,10.4
173,Jamal Agnew,WR,3000,4.9
174,Gus Edwards,RB,4800,7.58
175,Keaontay Ingram,RB,4900,7.6
176,Josh Reynolds,WR,4300,6.9
177,Mike Gesicki,TE,2600,4.08
178,Olamide Zaccheaus,WR,3000,4.88
179,Green Bay Packers,Def,3700,5.77
180,Antonio Gibson,RB,4700,6.97
181,Rashod Bateman,WR,3600,5.43
182,Drew Ogletree,TE,2500,3.82
183,Latavius Murray,RB,4400,6.65
184,Tyler Allgeier,RB,4500,6.59
185,Zach Charbonnet,RB,4300,6.43
186,Alec Pierce,WR,3300,4.84
187,Cade Otton,TE,2900,4.28
188,Durham Smythe,TE,2800,4.19
189,Donovan Peoples-Jones,WR,3200,4.64
190,Colby Parkinson,TE,2500,3.78
191,Kenneth Gainwell,RB,4500,6.3
192,Zack Moss,RB,6200,8.42
193,D'Onta Foreman,RB,4800,6.76
194,Ezekiel Elliott,RB,4800,6.5
195,Marquez Valdes-Scantling,WR,3200,4.39
196,Adam Trautman,TE,2600,3.74
197,Jaleel McLaughlin,RB,5000,6.8
198,Noah Gray,TE,3000,3.83
199,Mack Hollins,WR,3400,4.56
200,Marvin Mims,WR,3600,4.62
201,Trey Palmer,WR,3600,4.83
202,Jerick McKinnon,RB,4700,5.88
203,Craig Reynolds,RB,4900,6.03
204,Joshua Kelley,RB,5200,5.97
205,Derius Davis,WR,3300,3.96
206,AJ Dillon,RB,5300,6.58
207,Parris Campbell,WR,3000,3.48
208,Damien Williams,RB,4000,4.55
209,Dyami Brown,WR,3000,3.18
210,Royce Freeman,RB,4000,4.4
211,Josh Oliver,TE,2500,2.69
212,Hunter Renfrow,WR,3100,3.49
213,Robert Tonyan,TE,2500,2.58
214,Donald Parham,TE,3000,3.06
215,Cedrick Wilson,WR,3000,2.91
216,Josiah Deguara,TE,2600,2.29
217,Isaiah Hodgins,WR,4100,3.66
218,Ke'Shawn Vaughn,RB,4400,4.05
219,Tyler Scott,WR,3000,2.69
220,Jauan Jennings,WR,3800,3.3
221,Trent Sherfield,WR,3000,2.59
222,Will Dissly,TE,2600,2.13
223,Jordan Akins,TE,2500,1.95
224,Myles Gaskin,RB,4000,3.31
225,Cam Akers,RB,4600,3.46
226,Sterling Shepard,WR,3000,2.31
227,Elijah Mitchell,RB,5100,4.12
228,Isaiah McKenzie,WR,3000,2.25
229,Taysom Hill,TE,3700,2.88
230,Devin Duvernay,WR,3000,2.31
231,Isaiah Likely,TE,2500,1.97
232,Jamaal Williams,RB,4800,3.81
233,Clyde Edwards-Helaire,RB,4200,3.22
234,John Bates,TE,2500,2.0
235,Dontayvion Wicks,WR,3000,2.05
236,Samaje Perine,RB,4500,3.3
237,Brandon Johnson,WR,3000,2.21
238,Austin Hooper,TE,2500,1.81
239,Jake Bobo,WR,3200,2.24
240,Harrison Bryant,TE,2500,1.84
241,Brenton Strange,TE,2500,1.77
242,Connor Heyward,TE,2500,1.71
243,Jalin Hyatt,WR,3000,1.82
244,Emari Demercado,RB,4800,2.9
245,Kyle Juszczyk,RB,4000,2.26
246,Salvon Ahmed,RB,4600,2.77
247,Cole Turner,TE,2500,1.37
248,Ray-Ray McCloud,WR,3000,1.89
249,Kendre Miller,RB,4300,2.81
250,Samori Toure,WR,3000,1.82
251,Cordarrelle Patterson,RB,4000,2.34
252,Matt Breida,RB,4800,2.69
253,DeAndre Carter,WR,3000,1.64
254,Khalil Shakir,WR,3100,1.86
255,Marvin Jones,WR,3000,1.96
256,Ameer Abdullah,RB,4000,1.97
257,Justyn Ross,WR,3000,1.62
258,Mo Alie-Cox,TE,2500,1.16
259,DeeJay Dallas,RB,4000,2.12
