first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,ppg_projection,value_projection,ppg_actual,value_actual
Jahmyr,Gibbs,RB,,13,2024-11-28,Thu,DET,CHI,-9.5,47.5,28.5,7500,19,19.0,19.6,19.4,18.6,2.48,,
Jordan,Love,QB,,13,2024-11-28,Thu,GB,MIA,-3.5,47.5,25.5,6300,2,14.3,17.9,18.3,17.8,2.83,,
Jared,Goff,QB,,13,2024-11-28,Thu,DET,CHI,-9.5,47.5,28.5,6500,3,17.3,19.0,18.4,17.7,2.72,,
Amon-Ra,St. Brown,WR,Q,13,2024-11-28,Thu,DET,CHI,-9.5,47.5,28.5,8000,5,19.8,20.8,19.3,17.5,2.19,,
Caleb,Williams,QB,,13,2024-11-28,Thu,CHI,DET,9.5,47.5,19.0,5300,6,13.6,16.8,15.8,17.4,3.28,,
De'Von,Achane,RB,,13,2024-11-28,Thu,MIA,GB,3.5,47.5,22.0,7700,16,22.0,16.8,17.3,17.2,2.23,,
Josh,Jacobs,RB,,13,2024-11-28,Thu,GB,MIA,-3.5,47.5,25.5,7000,15,23.3,18.0,17.5,16.9,2.41,,
CeeDee,Lamb,WR,,13,2024-11-28,Thu,DAL,NYG,-3.5,37.5,20.5,7300,11,20.5,18.2,17.8,16.7,2.29,,
Tua,Tagovailoa,QB,,13,2024-11-28,Thu,MIA,GB,3.5,47.5,22.0,6000,7,19.5,16.8,18.2,16.7,2.78,,
Malik,Nabers,WR,,13,2024-11-28,Thu,NYG,DAL,3.5,37.5,17.0,7100,20,12.1,17.5,17.5,16.5,2.32,,
Rico,Dowdle,RB,,13,2024-11-28,Thu,DAL,NYG,-3.5,37.5,20.5,5500,28,11.6,11.3,11.3,15.5,2.82,,
Tyreek,Hill,WR,,13,2024-11-28,Thu,MIA,GB,3.5,47.5,22.0,6900,6,13.2,10.3,12.0,14.4,2.09,,
David,Montgomery,RB,Q,13,2024-11-28,Thu,DET,CHI,-9.5,47.5,28.5,6500,19,16.2,16.7,16.7,14.1,2.17,,
Cooper,Rush,QB,,13,2024-11-28,Thu,DAL,NYG,-3.5,37.5,20.5,4800,21,9.7,5.2,6.9,13.7,2.85,,
Jayden,Reed,WR,,13,2024-11-28,Thu,GB,MIA,-3.5,47.5,25.5,5700,2,9.0,12.1,14.3,13.4,2.35,,
Drew,Lock,QB,,13,2024-11-28,Thu,NYG,DAL,3.5,37.5,17.0,4500,28,6.2,7.9,0.6,13.1,2.91,,
Tyrone,Tracy Jr.,RB,,13,2024-11-28,Thu,NYG,DAL,3.5,37.5,17.0,5800,29,13.9,11.9,10.9,13.1,2.26,,
DJ,Moore,WR,,13,2024-11-28,Thu,CHI,DET,9.5,47.5,19.0,5600,29,12.4,13.6,13.3,13.0,2.32,,
Keenan,Allen,WR,,13,2024-11-28,Thu,CHI,DET,9.5,47.5,19.0,5100,29,10.9,10.7,10.4,12.2,2.39,,
D'Andre,Swift,RB,,13,2024-11-28,Thu,CHI,DET,9.5,47.5,19.0,6000,2,13.9,15.5,14.6,11.9,1.98,,
Jonnu,Smith,TE,,13,2024-11-28,Thu,MIA,GB,3.5,47.5,22.0,4300,21,15.6,12.7,11.7,11.8,2.74,,
Jameson,Williams,WR,,13,2024-11-28,Thu,DET,CHI,-9.5,47.5,28.5,6100,5,12.8,14.4,13.7,11.7,1.92,,
Jaylen,Waddle,WR,,13,2024-11-28,Thu,MIA,GB,3.5,47.5,22.0,5400,6,12.4,9.5,10.4,10.5,1.94,,
Christian,Watson,WR,,13,2024-11-28,Thu,GB,MIA,-3.5,47.5,25.5,4900,2,8.1,7.5,7.5,10.4,2.12,,
Rome,Odunze,WR,,13,2024-11-28,Thu,CHI,DET,9.5,47.5,19.0,5000,29,10.7,10.2,9.5,10.0,2.0,,
Sam,LaPorta,TE,,13,2024-11-28,Thu,DET,CHI,-9.5,47.5,28.5,4100,16,9.1,8.5,8.5,9.6,2.34,,
Cowboys,,DST,,13,2024-11-28,Thu,DAL,NYG,-3.5,37.5,20.5,3100,30,7.4,4.6,5.7,9.1,2.94,,
Tucker,Kraft,TE,,13,2024-11-28,Thu,GB,MIA,-3.5,47.5,25.5,3700,23,9.5,10.2,9.8,9.0,2.43,,
Wan'Dale,Robinson,WR,,13,2024-11-28,Thu,NYG,DAL,3.5,37.5,17.0,4700,20,8.0,10.7,10.8,8.8,1.87,,
Cole,Kmet,TE,,13,2024-11-28,Thu,CHI,DET,9.5,47.5,19.0,3600,1,5.7,10.0,9.2,8.7,2.42,,
Lions,,DST,,13,2024-11-28,Thu,DET,CHI,-9.5,47.5,28.5,3500,23,10.0,9.4,9.0,8.3,2.37,,
Dontayvion,Wicks,WR,,13,2024-11-28,Thu,GB,MIA,-3.5,47.5,25.5,4200,2,4.1,6.3,5.7,8.3,1.98,,
Luke,Schoonmaker,TE,,13,2024-11-28,Thu,DAL,NYG,-3.5,37.5,20.5,3400,2,5.2,4.0,3.6,7.1,2.09,,
Giants,,DST,,13,2024-11-28,Thu,NYG,DAL,3.5,37.5,17.0,2800,27,3.0,6.0,5.8,6.7,2.39,,
Packers,,DST,,13,2024-11-28,Thu,GB,MIA,-3.5,47.5,25.5,3000,25,5.6,8.7,8.6,6.6,2.2,,
Brandin,Cooks,WR,,13,2024-11-28,Thu,DAL,NYG,-3.5,37.5,20.5,4500,11,7.1,8.8,6.1,6.5,1.44,,
Theo,Johnson,TE,,13,2024-11-28,Thu,NYG,DAL,3.5,37.5,17.0,2900,13,7.0,5.5,5.3,6.3,2.17,,
Dolphins,,DST,,13,2024-11-28,Thu,MIA,GB,3.5,47.5,22.0,2700,6,5.0,4.2,4.4,6.0,2.22,,
Jalen,Tolbert,WR,,13,2024-11-28,Thu,DAL,NYG,-3.5,37.5,20.5,3800,11,7.4,10.0,9.3,5.8,1.53,,
Tim,Patrick,WR,,13,2024-11-28,Thu,DET,CHI,-9.5,47.5,28.5,3500,5,3.7,4.5,4.5,5.4,1.54,,
Darius,Slayton,WR,,13,2024-11-28,Thu,NYG,DAL,3.5,37.5,17.0,4400,20,8.1,9.2,9.2,4.9,1.11,,
Devin,Singletary,RB,,13,2024-11-28,Thu,NYG,DAL,3.5,37.5,17.0,4800,29,5.0,8.7,8.3,4.9,1.02,,
Bears,,DST,,13,2024-11-28,Thu,CHI,DET,9.5,47.5,19.0,2300,3,4.2,6.3,7.9,4.6,2.0,,
Jaylen,Wright,RB,,13,2024-11-28,Thu,MIA,GB,3.5,47.5,22.0,4200,16,1.5,2.5,2.5,4.4,1.05,,
Roschon,Johnson,RB,,13,2024-11-28,Thu,CHI,DET,9.5,47.5,19.0,4500,2,6.2,7.0,7.0,4.3,0.96,,
Chris,Brooks,RB,,13,2024-11-28,Thu,GB,MIA,-3.5,47.5,25.5,4000,15,3.3,1.9,2.1,4.1,1.03,,
Bo,Melton,WR,,13,2024-11-28,Thu,GB,MIA,-3.5,47.5,25.5,3100,2,1.0,1.6,1.5,4.0,1.29,,
Emanuel,Wilson,RB,,13,2024-11-28,Thu,GB,MIA,-3.5,47.5,25.5,4300,15,3.8,5.0,5.2,3.9,0.91,,
Ezekiel,Elliott,RB,,13,2024-11-28,Thu,DAL,NYG,-3.5,37.5,20.5,4400,28,3.9,4.5,4.5,3.6,0.82,,
Raheem,Mostert,RB,,13,2024-11-28,Thu,MIA,GB,3.5,47.5,22.0,4700,16,6.4,6.8,6.5,3.4,0.72,,
Odell,Beckham Jr.,WR,,13,2024-11-28,Thu,MIA,GB,3.5,47.5,22.0,3200,6,2.3,2.3,1.6,3.2,1.0,,
KaVontae,Turpin,WR,,13,2024-11-28,Thu,DAL,NYG,-3.5,37.5,20.5,3300,11,5.9,6.1,5.5,3.0,0.91,,
Malik,Washington,WR,,13,2024-11-28,Thu,MIA,GB,3.5,47.5,22.0,3000,6,3.5,2.8,2.8,3.0,1.0,,
Brevyn,Spann-Ford,TE,,13,2024-11-28,Thu,DAL,NYG,-3.5,37.5,20.5,2700,2,2.5,1.7,1.5,2.9,1.07,,
Hunter,Luepke,RB,,13,2024-11-28,Thu,DAL,NYG,-3.5,37.5,20.5,4000,28,1.0,2.2,2.2,2.6,0.65,,
Jalin,Hyatt,WR,,13,2024-11-28,Thu,NYG,DAL,3.5,37.5,17.0,3200,20,1.9,1.0,1.0,2.6,0.81,,
Brock,Wright,TE,,13,2024-11-28,Thu,DET,CHI,-9.5,47.5,28.5,3100,16,4.2,3.2,3.0,2.5,0.81,,
Julian,Hill,TE,,13,2024-11-28,Thu,MIA,GB,3.5,47.5,22.0,2500,21,2.4,1.8,1.8,2.0,0.8,,
Jalen,Brooks,WR,,13,2024-11-28,Thu,DAL,NYG,-3.5,37.5,20.5,3100,11,2.7,2.4,2.4,1.7,0.55,,
Ben,Sims,TE,,13,2024-11-28,Thu,GB,MIA,-3.5,47.5,25.5,2500,23,0.2,0.7,0.6,1.6,0.64,,
Malik,Heath,WR,,13,2024-11-28,Thu,GB,MIA,-3.5,47.5,25.5,3300,2,1.9,2.0,1.8,1.6,0.48,,
Eric,Gray,RB,,13,2024-11-28,Thu,NYG,DAL,3.5,37.5,17.0,4000,29,1.2,1.4,1.5,1.4,0.35,,
Durham,Smythe,TE,,13,2024-11-28,Thu,MIA,GB,3.5,47.5,22.0,2500,21,1.2,0.9,0.8,1.3,0.52,,
Daniel,Bellinger,TE,,13,2024-11-28,Thu,NYG,DAL,3.5,37.5,17.0,2500,13,0.4,0.5,0.6,1.2,0.48,,
Jonathan,Mingo,WR,,13,2024-11-28,Thu,DAL,NYG,-3.5,37.5,20.5,3400,11,0.4,2.0,2.3,1.0,0.29,,
Allen,Robinson II,WR,,13,2024-11-28,Thu,DET,CHI,-9.5,47.5,28.5,3000,5,0.6,0.6,0.4,0.9,0.3,,
Gerald,Everett,TE,,13,2024-11-28,Thu,CHI,DET,9.5,47.5,19.0,2500,1,0.6,0.9,0.9,0.7,0.28,,
Craig,Reynolds,RB,,13,2024-11-28,Thu,DET,CHI,-9.5,47.5,28.5,4000,19,0.6,0.5,0.5,0.7,0.18,,
DeAndre,Carter,WR,,13,2024-11-28,Thu,CHI,DET,9.5,47.5,19.0,3000,29,0.4,1.4,1.4,0.6,0.2,,
Ryan,Flournoy,WR,,13,2024-11-28,Thu,DAL,NYG,-3.5,37.5,20.5,3000,11,1.2,1.1,1.1,0.5,0.17,,
Shane,Zylstra,TE,,13,2024-11-28,Thu,DET,CHI,-9.5,47.5,28.5,2500,16,0.6,3.2,0.5,0.5,0.2,,
River,Cracraft,WR,,13,2024-11-28,Thu,MIA,GB,3.5,47.5,22.0,3000,6,1.6,1.2,0.0,0.5,0.17,,
Marcedes,Lewis,TE,,13,2024-11-28,Thu,CHI,DET,9.5,47.5,19.0,2500,1,0.0,0.1,0.1,0.4,0.16,,
Alec,Ingold,RB,,13,2024-11-28,Thu,MIA,GB,3.5,47.5,22.0,4000,16,2.8,1.9,2.1,0.4,0.1,,
Chris,Manhertz,TE,,13,2024-11-28,Thu,NYG,DAL,3.5,37.5,17.0,2500,13,1.4,0.7,0.7,0.3,0.12,,
Deuce,Vaughn,RB,,13,2024-11-28,Thu,DAL,NYG,-3.5,37.5,20.5,4000,28,1.5,1.6,1.4,0.3,0.08,,
Sione,Vaki,RB,,13,2024-11-28,Thu,DET,CHI,-9.5,47.5,28.5,4000,19,0.2,0.4,0.4,0.3,0.08,,
John,FitzPatrick,TE,Q,13,2024-11-28,Thu,GB,MIA,-3.5,47.5,25.5,2500,23,0.7,0.3,0.3,0.3,0.12,,
Ihmir,Smith-Marsette,WR,,13,2024-11-28,Thu,NYG,DAL,3.5,37.5,17.0,3000,20,0.0,0.2,0.0,0.2,0.07,,
Travis,Homer,RB,,13,2024-11-28,Thu,CHI,DET,9.5,47.5,19.0,4000,2,0.0,0.2,0.2,0.2,0.05,,
Dalvin,Cook,RB,,13,2024-11-28,Thu,DAL,NYG,-3.5,37.5,20.5,4100,28,1.7,2.3,2.0,0.1,0.02,,
Jeff,Wilson Jr.,RB,,13,2024-11-28,Thu,MIA,GB,3.5,47.5,22.0,4000,16,1.8,2.5,1.8,0.1,0.03,,
Tommy,DeVito,QB,O,13,2024-11-28,Thu,NYG,DAL,3.5,37.5,17.0,4500,28,8.4,10.8,10.8,0.0,0.0,,
Kalif,Raymond,WR,O,13,2024-11-28,Thu,DET,CHI,-9.5,47.5,28.5,3400,5,3.1,4.7,4.4,0.0,0.0,,
Tyler,Scott,WR,O,13,2024-11-28,Thu,CHI,DET,9.5,47.5,19.0,3000,29,0.0,0.6,0.0,0.0,0.0,,
Romeo,Doubs,WR,O,13,2024-11-28,Thu,GB,MIA,-3.5,47.5,25.5,4600,2,9.1,9.4,9.4,0.0,0.0,,
MarShawn,Lloyd,RB,O,13,2024-11-28,Thu,GB,MIA,-3.5,47.5,25.5,4000,15,2.8,2.8,2.8,0.0,0.0,,
Lamar,Jackson,QB,,13,2024-12-01,Fri-Mon,BAL,PHI,-2.5,51.5,27.0,8000,5,23.8,26.6,26.0,22.6,2.83,,
Josh,Allen,QB,,13,2024-12-01,Fri-Mon,BUF,SF,-6.5,44.5,25.5,7800,8,22.2,19.9,21.0,22.1,2.83,,
Alvin,Kamara,RB,,13,2024-12-01,Fri-Mon,NO,LAR,2.5,49.5,23.5,7700,24,17.2,20.4,20.5,22.1,2.87,,
Justin,Herbert,QB,,13,2024-12-01,Fri-Mon,LAC,ATL,-1.5,48.5,25.0,5600,27,21.3,17.1,16.5,20.9,3.73,,
Christian,McCaffrey,RB,,13,2024-12-01,Fri-Mon,SF,BUF,6.5,44.5,19.0,8200,30,19.7,23.5,13.4,20.7,2.52,,
Jalen,Hurts,QB,,13,2024-12-01,Fri-Mon,PHI,BAL,2.5,51.5,24.5,7700,30,26.1,23.3,23.0,20.5,2.66,,
Jayden,Daniels,QB,,13,2024-12-01,Fri-Mon,WAS,TEN,-5.5,44.5,25.0,7200,20,19.7,19.7,19.8,20.5,2.85,,
Patrick,Mahomes,QB,,13,2024-11-29,Fri-Mon,KC,LV,-12.5,42.5,27.5,6800,25,21.4,18.5,18.3,20.3,2.99,,
A.J.,Brown,WR,,13,2024-12-01,Fri-Mon,PHI,BAL,2.5,51.5,24.5,8300,31,15.1,15.8,18.5,20.2,2.43,,
Joe,Burrow,QB,,13,2024-12-01,Fri-Mon,CIN,PIT,-2.5,47.5,25.0,7000,1,25.5,24.9,23.4,20.0,2.86,,
Kyren,Williams,RB,,13,2024-12-01,Fri-Mon,LAR,NO,-2.5,49.5,26.0,7200,26,13.2,17.2,17.0,20.0,2.78,,
Bijan,Robinson,RB,,13,2024-12-01,Fri-Mon,ATL,LAC,1.5,48.5,23.5,7300,5,22.8,19.1,18.8,19.8,2.71,,
Baker,Mayfield,QB,,13,2024-12-01,Fri-Mon,TB,CAR,-5.5,46.5,26.0,6600,26,20.8,22.0,22.7,19.6,2.97,,
Chase,Brown,RB,,13,2024-12-01,Fri-Mon,CIN,PIT,-2.5,47.5,25.0,6200,13,18.2,15.7,14.8,19.6,3.16,,
Joe,Mixon,RB,,13,2024-12-01,Fri-Mon,HOU,JAX,-3.5,43.5,23.5,8000,31,22.2,23.6,23.1,19.3,2.41,,
Nico,Collins,WR,,13,2024-12-01,Fri-Mon,HOU,JAX,-3.5,43.5,23.5,7900,30,18.8,21.7,20.8,19.3,2.44,,
Anthony,Richardson,QB,,13,2024-12-01,Fri-Mon,IND,NE,-2.5,42.5,22.5,5500,14,14.1,14.9,14.7,19.3,3.51,,
Saquon,Barkley,RB,,13,2024-12-01,Fri-Mon,PHI,BAL,2.5,51.5,24.5,8500,8,29.4,25.2,26.2,19.1,2.25,,
Justin,Jefferson,WR,,13,2024-12-01,Fri-Mon,MIN,ARI,-3.5,45.5,24.5,8100,17,15.1,17.9,17.7,19.1,2.36,,
Puka,Nacua,WR,,13,2024-12-01,Fri-Mon,LAR,NO,-2.5,49.5,26.0,7600,27,18.8,21.0,17.0,18.8,2.47,,
Ja'Marr,Chase,WR,,13,2024-12-01,Fri-Mon,CIN,PIT,-2.5,47.5,25.0,8600,7,26.8,24.9,23.7,18.7,2.17,,
Sam,Darnold,QB,,13,2024-12-01,Fri-Mon,MIN,ARI,-3.5,45.5,24.5,5900,10,19.7,18.9,18.6,18.6,3.15,,
C.J.,Stroud,QB,,13,2024-12-01,Fri-Mon,HOU,JAX,-3.5,43.5,23.5,6400,32,13.5,15.1,15.4,18.5,2.89,,
Breece,Hall,RB,Q,13,2024-12-01,Fri-Mon,NYJ,SEA,2.5,42.5,20.0,7500,18,18.6,17.1,17.3,18.4,2.45,,
Chuba,Hubbard,RB,,13,2024-12-01,Fri-Mon,CAR,TB,5.5,46.5,20.5,6700,25,17.1,18.7,17.1,18.0,2.69,,
Bo,Nix,QB,,13,2024-12-02,Fri-Mon,DEN,CLE,-5.5,41.5,23.5,6300,13,23.2,20.1,18.7,18.0,2.86,,
Matthew,Stafford,QB,,13,2024-12-01,Fri-Mon,LAR,NO,-2.5,49.5,26.0,5800,17,20.5,14.8,15.2,17.9,3.09,,
Derrick,Henry,RB,,13,2024-12-01,Fri-Mon,BAL,PHI,-2.5,51.5,27.0,7800,4,17.3,23.2,21.6,17.7,2.27,,
Kenneth,Walker III,RB,,13,2024-12-01,Fri-Mon,SEA,NYJ,-2.5,42.5,22.5,7000,11,14.5,17.3,18.2,17.7,2.53,,
Jonathan,Taylor,RB,,13,2024-12-01,Fri-Mon,IND,NE,-2.5,42.5,22.5,6900,20,11.7,16.8,15.2,17.6,2.55,,
Kyler,Murray,QB,,13,2024-12-01,Fri-Mon,ARI,MIN,3.5,45.5,21.0,6100,15,18.4,18.5,18.2,17.4,2.85,,
Drake,Maye,QB,,13,2024-12-01,Fri-Mon,NE,IND,2.5,42.5,20.0,5600,24,15.3,15.2,15.2,17.4,3.11,,
Geno,Smith,QB,,13,2024-12-01,Fri-Mon,SEA,NYJ,-2.5,42.5,22.5,5500,11,17.0,18.5,18.5,17.2,3.13,,
Cooper,Kupp,WR,,13,2024-12-01,Fri-Mon,LAR,NO,-2.5,49.5,26.0,7400,27,21.4,18.1,21.4,17.0,2.3,,
Russell,Wilson,QB,,13,2024-12-01,Fri-Mon,PIT,CIN,2.5,47.5,22.5,5700,29,16.2,17.2,16.2,16.6,2.91,,
George,Pickens,WR,,13,2024-12-01,Fri-Mon,PIT,CIN,2.5,47.5,22.5,6800,22,16.5,13.3,13.3,16.5,2.43,,
Tee,Higgins,WR,,13,2024-12-01,Fri-Mon,CIN,PIT,-2.5,47.5,25.0,6600,7,21.4,17.6,19.0,16.1,2.44,,
Will,Levis,QB,,13,2024-12-01,Fri-Mon,TEN,WAS,5.5,44.5,19.5,5000,19,12.5,11.8,12.8,16.1,3.22,,
Ladd,McConkey,WR,,13,2024-12-01,Fri-Mon,LAC,ATL,-1.5,48.5,25.0,6100,28,17.3,13.4,13.5,15.8,2.59,,
Kirk,Cousins,QB,,13,2024-12-01,Fri-Mon,ATL,LAC,1.5,48.5,23.5,6000,18,15.6,16.7,15.9,15.6,2.61,,
Brian,Robinson Jr.,RB,Q,13,2024-12-01,Fri-Mon,WAS,TEN,-5.5,44.5,25.0,6100,10,10.6,13.4,13.6,15.5,2.54,,
Drake,London,WR,,13,2024-12-01,Fri-Mon,ATL,LAC,1.5,48.5,23.5,6500,14,12.6,16.8,15.6,15.4,2.37,,
Calvin,Ridley,WR,Q,13,2024-12-01,Fri-Mon,TEN,WAS,5.5,44.5,19.5,5700,16,17.7,12.6,12.2,15.4,2.7,,
Trey,McBride,TE,,13,2024-12-01,Fri-Mon,ARI,MIN,3.5,45.5,21.0,5800,9,17.3,14.2,14.2,15.3,2.64,,
Aaron,Jones,RB,,13,2024-12-01,Fri-Mon,MIN,ARI,-3.5,45.5,24.5,6500,22,13.0,14.9,15.3,15.2,2.34,,
James,Cook,RB,,13,2024-12-01,Fri-Mon,BUF,SF,-6.5,44.5,25.5,7100,21,17.5,17.2,17.2,15.1,2.13,,
Mike,Evans,WR,,13,2024-12-01,Fri-Mon,TB,CAR,-5.5,46.5,26.0,6700,13,14.7,14.7,13.4,15.1,2.25,,
Jameis,Winston,QB,,13,2024-12-02,Fri-Mon,CLE,DEN,5.5,41.5,18.0,5700,4,17.7,8.9,9.9,15.1,2.65,,
Brock,Bowers,TE,,13,2024-11-29,Fri-Mon,LV,KC,12.5,42.5,15.0,6000,29,17.5,15.9,15.5,15.1,2.52,,
Bucky,Irving,RB,,13,2024-12-01,Fri-Mon,TB,CAR,-5.5,46.5,26.0,5800,32,16.7,13.5,13.1,15.0,2.59,,
Derek,Carr,QB,,13,2024-12-01,Fri-Mon,NO,LAR,2.5,49.5,23.5,5100,16,15.1,17.1,16.1,15.0,2.94,,
Garrett,Wilson,WR,,13,2024-12-01,Fri-Mon,NYJ,SEA,2.5,42.5,20.0,6900,18,15.5,17.0,16.5,15.0,2.17,,
Travis,Kelce,TE,,13,2024-11-29,Fri-Mon,KC,LV,-12.5,42.5,27.5,5600,31,17.3,13.3,12.6,14.8,2.64,,
Zay,Flowers,WR,,13,2024-12-01,Fri-Mon,BAL,PHI,-2.5,51.5,27.0,6200,12,16.9,14.3,14.7,14.7,2.37,,
Brock,Purdy,QB,Q,13,2024-12-01,Fri-Mon,SF,BUF,6.5,44.5,19.0,6200,9,23.3,20.3,20.3,14.7,2.36,,
Bryce,Young,QB,,13,2024-12-01,Fri-Mon,CAR,TB,5.5,46.5,20.5,4700,31,10.9,8.1,9.1,14.6,3.11,,
Aaron,Rodgers,QB,,13,2024-12-01,Fri-Mon,NYJ,SEA,2.5,42.5,20.0,5300,12,14.4,15.3,14.8,14.6,2.75,,
Davante,Adams,WR,,13,2024-12-01,Fri-Mon,NYJ,SEA,2.5,42.5,20.0,7000,18,12.0,16.4,13.5,14.6,2.09,,
Courtland,Sutton,WR,,13,2024-12-02,Fri-Mon,DEN,CLE,-5.5,41.5,23.5,6300,23,22.2,16.0,14.3,14.4,2.29,,
James,Conner,RB,,13,2024-12-01,Fri-Mon,ARI,MIN,3.5,45.5,21.0,6600,3,17.0,15.4,15.8,14.4,2.18,,
Evan,Engram,TE,,13,2024-12-01,Fri-Mon,JAX,HOU,3.5,43.5,20.0,4800,4,10.3,13.0,10.7,13.9,2.9,,
Khalil,Shakir,WR,,13,2024-12-01,Fri-Mon,BUF,SF,-6.5,44.5,25.5,6100,10,14.8,13.1,13.1,13.7,2.25,,
Rhamondre,Stevenson,RB,,13,2024-12-01,Fri-Mon,NE,IND,2.5,42.5,20.0,5900,27,14.2,12.2,13.3,13.7,2.32,,
Brian,Thomas Jr.,WR,,13,2024-12-01,Fri-Mon,JAX,HOU,3.5,43.5,20.0,5500,24,12.0,13.5,13.6,13.5,2.45,,
DK,Metcalf,WR,Q,13,2024-12-01,Fri-Mon,SEA,NYJ,-2.5,42.5,22.5,6400,1,12.0,14.3,15.6,13.5,2.11,,
Terry,McLaurin,WR,,13,2024-12-01,Fri-Mon,WAS,TEN,-5.5,44.5,25.0,7100,3,16.4,18.0,16.0,13.5,1.9,,
Trevor,Lawrence,QB,Q,13,2024-12-01,Fri-Mon,JAX,HOU,3.5,43.5,20.0,5400,22,20.4,17.0,16.9,13.4,2.48,,
