Rank,Player ID,Player Name,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,FG,Pts Agn,Tack,Pts
1,14783,"Hurts, Jalen",PHI,@BAL,QB,230.0,1.3,38.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,23.9
2,13604,"Barkley, Saquon",PHI,@BAL,RB,0.0,0.0,105.0,0.7,2.2,22.0,0.2,0.0,0.0,0.0,23.2
3,13131,"Mixon, Joe",HOU,@JAC,RB,0.0,0.0,81.0,1.0,3.2,30.0,0.2,0.0,0.0,0.0,21.6
4,13593,"Jackson, Lamar",BAL,PHI,QB,203.0,1.7,55.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,21.0
5,13590,"Mayfield, Baker",TBB,@CAR,QB,267.0,2.1,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,21.0
6,13589,"Allen, Josh",BUF,SFO,QB,224.0,1.5,31.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,20.7
7,15710,"Williams, Kyren",LAR,@NOS,RB,0.0,0.0,91.0,1.0,2.6,15.0,0.2,0.0,0.0,0.0,19.8
8,15281,"Chase, Ja'Marr",CIN,PIT,WR,0.0,0.0,1.0,0.0,6.1,82.0,0.8,0.0,0.0,0.0,19.2
9,15290,"Collins, Nico",HOU,@JAC,WR,0.0,0.0,0.0,0.0,6.1,92.0,0.6,0.0,0.0,0.0,19.1
10,15287,"St. Brown, Amon-Ra",DET,CHI,WR,0.0,0.0,0.0,0.0,6.8,78.0,0.7,0.0,0.0,0.0,19.1
11,13164,"Kupp, Cooper",LAR,@NOS,WR,0.0,0.0,1.0,0.0,7.1,83.0,0.6,0.0,0.0,0.0,19.1
12,13116,"Mahomes, Patrick",KCC,LVR,QB,259.0,1.8,22.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,19.1
13,14779,"Herbert, Justin",LAC,@ATL,QB,260.0,1.4,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,19.0
14,14777,"Burrow, Joe",CIN,PIT,QB,251.0,1.9,16.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,19.0
15,16581,"Daniels, Jayden",WAS,TEN,QB,225.0,1.1,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,18.9
16,16582,"Nix, Bo",DEN,CLE,QB,245.0,1.5,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,18.8
17,16162,"Gibbs, Jahmyr",DET,CHI,RB,0.0,0.0,77.0,1.0,2.6,24.0,0.1,0.0,0.0,0.0,18.8
18,14832,"Lamb, CeeDee",DAL,NYG,WR,0.0,0.0,6.0,0.1,6.9,80.0,0.4,0.0,0.0,0.0,18.4
19,13130,"McCaffrey, Christian",SFO,@BUF,RB,0.0,0.0,75.0,0.6,3.5,30.0,0.2,0.0,0.0,0.0,18.4
