first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,ppg_projection,value_projection,ppg_actual,value_actual
Lamar,Jackson,QB,,8,2024-10-27,Thu-Mon,BAL,CLE,-8.5,44.5,26.5,8000,8,29.3,29.2,27.6,22.6,2.83
Breece,Hall,RB,,8,2024-10-27,Thu-Mon,NYJ,NE,-7.5,41.5,24.5,7300,31,16.6,22.9,18.1,21.5,2.95
Josh,Allen,QB,,8,2024-10-27,Thu-Mon,BUF,SEA,-3.5,46.5,25,7800,16,20.5,23.7,20.6,20.7,2.65
Jalen,Hurts,QB,,8,2024-10-27,Thu-Mon,PHI,CIN,+2.5,48.5,23,7500,26,20.5,18.6,20.4,20.3,2.71
Justin,Jefferson,WR,,8,2024-10-24,Thu-Mon,MIN,LAR,-2.5,48.5,25.5,8800,15,20.7,21.4,19.9,19.8,2.25
Patrick,Mahomes,QB,,8,2024-10-27,Thu-Mon,KC,LV,-9.5,41.5,25.5,6800,17,15.6,17.6,15.7,19.7,2.90
Bo,Nix,QB,,8,2024-10-27,Thu-Mon,DEN,CAR,-9.5,41.5,25.5,5600,25,17.0,15.5,15.5,19.3,3.45
Joe,Mixon,RB,,8,2024-10-27,Thu-Mon,HOU,IND,-4.5,45.5,25,7700,21,25.0,21.9,24.4,19.3,2.51
Joe,Burrow,QB,,8,2024-10-27,Thu-Mon,CIN,PHI,-2.5,48.5,25.5,7000,9,23.6,20.3,20.6,19.2,2.74
J.K.,Dobbins,RB,,8,2024-10-27,Thu-Mon,LAC,NO,-7.5,40.5,24,6900,28,13.7,14.2,15.7,19.2,2.78
Jordan,Love,QB,,8,2024-10-27,Thu-Mon,GB,JAX,-3.5,49.5,26.5,7100,32,22.4,22.4,22.4,19.1,2.69
Sam,Darnold,QB,,8,2024-10-24,Thu-Mon,MIN,LAR,-2.5,48.5,25.5,6200,15,18.0,13.2,17.6,19.0,3.06
Jared,Goff,QB,,8,2024-10-27,Thu-Mon,DET,TEN,-11.5,44.5,28,6600,11,20.7,18.9,19.3,18.7,2.83
Tyreek,Hill,WR,,8,2024-10-27,Thu-Mon,MIA,ARI,-3.5,45.5,24.5,7000,26,7.4,13.7,11.0,18.7,2.67
Brock,Purdy,QB,,8,2024-10-27,Thu-Mon,SF,DAL,-3.5,45.5,24.5,6300,27,20.4,18.0,18.7,18.7,2.97
Jayden,Daniels,QB,Q,8,2024-10-27,Thu-Mon,WAS,CHI,+2.5,43.5,20.5,7300,2,19.6,19.9,19.9,18.7,2.56
Amon-Ra,St. Brown,WR,,8,2024-10-27,Thu-Mon,DET,TEN,-11.5,44.5,28,8400,6,21.8,20.2,18.9,18.5,2.20
C.J.,Stroud,QB,,8,2024-10-27,Thu-Mon,HOU,IND,-4.5,45.5,25,6900,28,16.8,16.8,16.7,18.5,2.68
Aaron,Jones,RB,,8,2024-10-24,Thu-Mon,MIN,LAR,-2.5,48.5,25.5,6600,22,16.9,19.7,17.2,18.5,2.80
Kyler,Murray,QB,,8,2024-10-27,Thu-Mon,ARI,MIA,+3.5,45.5,21,6400,1,17.0,19.0,18.4,18.5,2.89
Baker,Mayfield,QB,,8,2024-10-27,Thu-Mon,TB,ATL,+2.5,46.5,22,6700,20,25.3,24.1,25.2,18.5,2.76
Tony,Pollard,RB,,8,2024-10-27,Thu-Mon,TEN,DET,+11.5,44.5,16.5,6500,2,13.2,13.4,14.1,18.4,2.83
Geno,Smith,QB,,8,2024-10-27,Thu-Mon,SEA,BUF,+3.5,46.5,21.5,5900,12,19.4,19.0,19.5,18.2,3.08
CeeDee,Lamb,WR,,8,2024-10-27,Thu-Mon,DAL,SF,+3.5,45.5,21,8600,10,16.0,22.5,15.6,18.2,2.12
Ja'Marr,Chase,WR,,8,2024-10-27,Thu-Mon,CIN,PHI,-2.5,48.5,25.5,8500,23,24.9,16.8,20.6,17.9,2.11
Alvin,Kamara,RB,Q,8,2024-10-27,Thu-Mon,NO,LAC,+7.5,40.5,16.5,7600,4,15.8,17.9,21.1,17.6,2.32
Caleb,Williams,QB,,8,2024-10-27,Thu-Mon,CHI,WAS,-2.5,43.5,23,6000,19,20.1,17.6,17.6,17.6,2.93
Kyren,Williams,RB,,8,2024-10-24,Thu-Mon,LAR,MIN,+2.5,48.5,23,8200,10,21.3,20.8,20.1,17.3,2.11
A.J.,Brown,WR,,8,2024-10-27,Thu-Mon,PHI,CIN,+2.5,48.5,23,8200,16,16.5,16.2,24.1,17.1,2.09
