PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Justin Herbert,QB,LAC,NO,-351,40,-7.5,23.75,5400,16.11,3,32.7,3.2,0,3.2,6.6
Bo Nix,QB,DEN,CAR,-460,43.5,-9,26.25,5600,16.79,3,32.7,4.2,0,4.2,6.6
Matthew Stafford,QB,LAR,MIN,128,48,3,22.5,5500,15.74,2.9,33.1,0.9,0,0.9,6.2
Jalen McMillan,WR,TB,ATL,119,46,2.5,21.75,3700,10.72,2.9,0,0.3,6.4,6.7,1.8
Brock Purdy,QB,SF,DAL,-216,46,-4.5,25.25,6300,18.21,2.9,28.6,2.3,0,2.3,4.9
Aaron Rodgers,QB,NYJ,NE,-352,41.5,-7.5,24.5,5700,16.61,2.9,32.1,1.9,0,1.9,6
Kyler Murray,QB,ARI,MIA,139,46.5,3,21.75,6400,18.66,2.9,29.9,7,0,7,5.8
Mason Rudolph,QB,TEN,DET,447,45.5,11,17.25,4400,12.68,2.9,34.3,2.5,0,2.5,8.4
Cade Otton,TE,TB,ATL,119,46,2.5,21.75,3500,9.99,2.8,0,0,5.9,5.9,1.7
Anthony Richardson,QB,IND,HOU,198,46,5.5,20.25,5800,16.52,2.8,28.1,7,0,7,6.1
Trevor Lawrence,QB,JAX,GB,179,49,4.5,22.25,5600,15.76,2.8,32,3,0,3,6.3
Geno Smith,QB,SEA,BUF,142,47,3,22,5900,16.35,2.8,33.2,2.8,0,2.8,6.1
Sam Darnold,QB,MIN,LAR,-153,48,-3,25.5,6200,17.54,2.8,34.4,2.7,0,2.7,6
Daniel Jones,QB,NYG,PIT,233,36.5,6.5,15,5300,14.56,2.8,34.1,4.9,0,4.9,7.4
Caleb Williams,QB,CHI,WAS,-135,43.5,-2.5,23,6000,17.06,2.8,32.1,4,0,4,6
Andy Dalton,QB,CAR,DEN,348,43.5,9,17.25,4900,13.09,2.7,30.9,2.9,0,2.9,6.9
Tua Tagovailoa,QB,MIA,ARI,-168,46.5,-3,24.75,6100,16.32,2.7,30.8,1.9,0,1.9,5.4
Joe Burrow,QB,CIN,PHI,-132,48,-2,25,7000,19.16,2.7,34.3,3.2,0,3.2,5.4
Lamar Jackson,QB,BAL,CLE,-441,44.5,-9,26.75,8000,21.77,2.7,27.3,8.9,0,8.9,4.5
Jayden Daniels,QB,WAS,CHI,113,43.5,2.5,20.5,7300,19.41,2.7,28.2,9.1,0,9.1,5.1
Kirk Cousins,QB,ATL,TB,-142,46,-2.5,24.25,6200,16.46,2.7,31.9,1.7,0,1.7,5.4
