Rank,Player ID,Player Name,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum Lost,Pts
1,14783,"Hurts, Jalen",PHI,JAC,QB,252.0,1.3,31.0,1.2,0.0,0.0,0.0,0.3,24.7
2,15710,"Williams, Kyren",LAR,@SEA,RB,0.0,0.0,91.0,1.2,2.8,16.0,0.2,0.1,22.1
3,14832,"Lamb, CeeDee",DAL,@ATL,WR,0.0,0.0,5.0,0.1,7.2,94.0,0.6,0.1,21.0
4,13593,"Jackson, Lamar",BAL,DEN,QB,202.0,1.5,59.0,0.2,0.0,0.0,0.0,0.5,20.2
5,12620,"Prescott, Dak",DAL,@ATL,QB,282.0,1.9,9.0,0.1,0.0,0.0,0.0,0.1,19.6
6,13590,"Mayfield, Baker",TBB,@KCC,QB,237.0,2.0,16.0,0.1,0.0,0.0,0.0,0.1,19.0
7,14777,"Burrow, Joe",CIN,LVR,QB,255.0,1.8,13.0,0.1,0.0,0.0,0.0,0.1,18.9
8,16582,"Nix, Bo",DEN,@BAL,QB,222.0,1.4,25.0,0.4,0.0,0.0,0.0,0.1,18.8
9,13589,"Allen, Josh",BUF,MIA,QB,196.0,1.5,31.0,0.5,0.0,0.0,0.0,0.2,18.8
10,13116,"Mahomes, Patrick",KCC,TBB,QB,269.0,1.6,20.0,0.1,0.0,0.0,0.0,0.1,18.8
11,16161,"Robinson, Bijan",ATL,DAL,RB,0.0,0.0,72.0,0.4,4.1,33.0,0.2,0.0,18.4
12,13604,"Barkley, Saquon",PHI,JAC,RB,0.0,0.0,97.0,0.5,2.6,17.0,0.2,0.1,18.4
13,14836,"Jefferson, Justin",MIN,IND,WR,0.0,0.0,0.0,0.0,6.0,89.0,0.6,0.0,18.2
14,12626,"Henry, Derrick",BAL,DEN,RB,0.0,0.0,92.0,0.9,1.2,10.0,0.2,0.0,18.0
15,13132,"Kamara, Alvin",NOS,@CAR,RB,0.0,0.0,60.0,0.5,5.3,32.0,0.1,0.0,17.8
16,16167,"Achane, De'Von",MIA,@BUF,RB,0.0,0.0,68.0,0.4,3.7,30.0,0.3,0.1,17.6
17,16162,"Gibbs, Jahmyr",DET,@GBP,RB,0.0,0.0,73.0,0.8,2.8,20.0,0.1,0.1,17.6
18,14782,"Love, Jordan",GBP,DET,QB,219.0,1.9,13.0,0.2,0.0,0.0,0.0,0.1,17.6
19,16581,"Daniels, Jayden",WAS,@NYG,QB,209.0,0.9,37.0,0.4,0.0,0.0,0.0,0.1,17.5
20,14104,"Brown, A.J.",PHI,JAC,WR,0.0,0.0,0.0,0.0,5.8,87.0,0.5,0.1,17.4
21,10700,"Cousins, Kirk",ATL,DAL,QB,267.0,1.7,4.0,0.0,0.0,0.0,0.0,0.2,17.4
22,9064,"Flacco, Joe",IND,@MIN,QB,237.0,1.6,18.0,0.1,0.0,0.0,0.0,0.3,17.4
23,13131,"Mixon, Joe",HOU,@NYJ,RB,0.0,0.0,67.0,0.6,2.7,22.0,0.3,0.0,16.9
24,15287,"St. Brown, Amon-Ra",DET,@GBP,WR,0.0,0.0,1.0,0.0,6.2,71.0,0.6,0.0,16.8
25,14056,"Murray, Kyler",ARI,CHI,QB,184.0,1.1,41.0,0.3,0.0,0.0,0.0,0.3,16.8
26,15715,"Cook, James",BUF,MIA,RB,0.0,0.0,69.0,0.6,2.5,26.0,0.2,0.1,16.6
27,15711,"Walker III, Kenneth",SEA,LAR,RB,0.0,0.0,62.0,0.7,3.2,24.0,0.1,0.0,16.6
28,11150,"Smith, Geno",SEA,LAR,QB,254.0,1.2,18.0,0.1,0.0,0.0,0.0,0.1,16.5
29,15281,"Chase, Ja'Marr",CIN,LVR,WR,0.0,0.0,1.0,0.0,5.5,72.0,0.6,0.0,16.4
30,15237,"Lawrence, Trevor",JAC,@PHI,QB,226.0,1.3,18.0,0.2,0.0,0.0,0.0,0.3,16.4
31,16579,"Williams, Caleb",CHI,@ARI,QB,193.0,1.2,38.0,0.1,0.0,0.0,0.0,0.3,16.3
32,14779,"Herbert, Justin",LAC,@CLE,QB,240.0,1.2,15.0,0.1,0.0,0.0,0.0,0.2,16.3
33,15708,"Hall, Breece",NYJ,HOU,RB,0.0,0.0,56.0,0.3,4.1,36.0,0.2,0.1,16.1
34,11244,"Kelce, Travis",KCC,TBB,TE,0.0,0.0,0.0,0.0,7.1,67.0,0.4,0.0,16.1
35,14802,"Taylor, Jonathan",IND,@MIN,RB,0.0,0.0,75.0,0.8,2.1,15.0,0.1,0.1,15.9
36,14797,"Swift, D'Andre",CHI,@ARI,RB,0.0,0.0,72.0,0.6,2.8,25.0,0.0,0.0,15.8
37,12611,"Goff, Jared",DET,@GBP,QB,232.0,1.6,2.0,0.0,0.0,0.0,0.0,0.1,15.7
38,13146,"Conner, James",ARI,CHI,RB,0.0,0.0,75.0,0.5,2.4,19.0,0.1,0.1,15.6
39,16618,"Thomas Jr., Brian",JAC,@PHI,WR,0.0,0.0,1.0,0.0,4.1,68.0,0.7,0.0,15.4
40,16615,"Nabers, Malik",NYG,WAS,WR,0.0,0.0,0.0,0.0,5.8,66.0,0.4,0.0,15.0
41,16150,"Stroud, C.J.",HOU,@NYJ,QB,224.0,1.3,12.0,0.1,0.0,0.0,0.0,0.3,14.9
42,9431,"Stafford, Matthew",LAR,@SEA,QB,252.0,1.3,4.0,0.0,0.0,0.0,0.0,0.1,14.8
43,15261,"Hubbard, Chuba",CAR,NOS,RB,0.0,0.0,74.0,0.4,3.1,15.0,0.1,0.1,14.7
44,14085,"Pollard, Tony",TEN,NEP,RB,0.0,0.0,68.0,0.5,3.2,18.0,0.0,0.0,14.7
45,16211,"Nacua, Puka",LAR,@SEA,WR,0.0,0.0,3.0,0.0,5.5,74.0,0.2,0.0,14.6
